"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","PersonRuns","65:2956","0.790","true"
"2","PersonRuns","4472:6567","0.720","false"
"3","PersonRuns","6179:12729","0.350","false"
"4","PersonRuns","6294:11876","0.960","true"
"5","PersonRuns","11931:16706","0.060","false"
"6","PersonRuns","13213:19724","0.460","false"
"7","PersonRuns","18488:25433","0.340","false"
"8","PersonRuns","20833:26522","0.230","false"
"9","PersonRuns","23957:31065","0.720","false"
"10","PersonRuns","27775:35703","0.110","false"
"11","PersonRuns","34027:38023","0.200","false"
"12","PersonRuns","39734:41869","0.890","true"
"13","PersonRuns","63928:64677","0.240","false"
"14","PersonRuns","71729:79025","0.080","false"
"15","PersonRuns","74680:77224","0.280","false"
"16","PersonRuns","77766:83069","0.130","false"
"17","PersonRuns","80169:84009","0.630","false"
"18","PersonRuns","86671:89087","0.610","false"
"19","PersonRuns","87161:95034","0.160","false"
"20","PersonRuns","87783:94594","0.010","false"
"21","PersonRuns","88889:92664","0.120","false"
"22","PersonRuns","92625:96243","0.960","true"
"23","PersonRuns","95904:97538","0.450","false"
"24","PersonRuns","99603:107288","0.320","false"
"25","PersonRuns","101232:103981","0.600","false"
"26","PersonRuns","102723:106525","0.530","false"
"27","PersonRuns","104370:106291","0.060","false"
"28","PersonRuns","116328:123614","0.690","false"
"29","PersonRuns","117987:124055","0.610","false"
"30","PersonRuns","120150:126023","0.410","false"
"31","PersonRuns","121311:122017","0.680","false"
"32","PersonRuns","122101:129857","0.900","true"
"33","PersonRuns","130683:137615","0.950","true"
"34","PersonRuns","137694:144313","0.870","true"
"35","PersonRuns","139192:141887","0.480","false"
"36","PersonRuns","140748:142375","0.670","false"
"37","PersonRuns","152686:153502","0.730","false"
"38","PersonRuns","152724:154566","0.740","false"
"39","PersonRuns","153786:157175","0.580","false"
"40","PersonRuns","165866:170255","0.330","false"
"41","PersonRuns","167414:175063","0.510","false"
"42","PersonRuns","172621:174358","0.090","false"
"43","PersonRuns","176174:180000","0.300","false"
"1","CellToEar","61753:115018","0.870","true"
"2","CellToEar","98437:115475","0.640","true"
"3","CellToEar","102996:170869","0.900","true"
"4","CellToEar","162589:180000","0.620","true"
"5","CellToEar","166281:180000","0.310","false"
"1","ObjectPut","34:1892","0.470","false"
"2","ObjectPut","2416:8485","0.870","true"
"3","ObjectPut","7461:12819","0.920","true"
"4","ObjectPut","8207:15134","0.920","true"
"5","ObjectPut","10574:17576","0.200","false"
"6","ObjectPut","12926:16196","0.480","false"
"7","ObjectPut","13870:20099","0.550","false"
"8","ObjectPut","14968:17442","0.750","true"
"9","ObjectPut","17187:24356","0.130","false"
"10","ObjectPut","21918:28284","0.710","true"
"11","ObjectPut","26419:30723","0.660","true"
"12","ObjectPut","27484:32118","0.030","false"
"13","ObjectPut","27900:32931","0.960","true"
"14","ObjectPut","29171:36032","0.460","false"
"15","ObjectPut","30680:31760","0.820","true"
"16","ObjectPut","31685:35486","0.310","false"
"17","ObjectPut","36896:39162","0.240","false"
"18","ObjectPut","41472:43113","0.350","false"
"19","ObjectPut","55971:56650","0.010","false"
"20","ObjectPut","56796:64075","0.500","false"
"21","ObjectPut","60425:67322","0.660","true"
"22","ObjectPut","61695:63776","0.650","true"
"23","ObjectPut","61784:69179","0.840","true"
"24","ObjectPut","66739:70517","0.110","false"
"25","ObjectPut","75722:81225","0.330","false"
"26","ObjectPut","87967:88609","0.530","false"
"27","ObjectPut","88388:95881","0.610","true"
"28","ObjectPut","89103:90559","0.300","false"
"29","ObjectPut","91897:95826","0.670","true"
"30","ObjectPut","95347:97207","0.150","false"
"31","ObjectPut","95361:96232","0.320","false"
"32","ObjectPut","108494:115989","0.200","false"
"33","ObjectPut","121150:122437","0.780","true"
"34","ObjectPut","129979:131201","0.350","false"
"35","ObjectPut","130361:137720","0.380","false"
"36","ObjectPut","134512:136425","0.040","false"
"37","ObjectPut","139830:142677","0.480","false"
"38","ObjectPut","140930:147659","0.120","false"
"39","ObjectPut","142779:144771","0.540","false"
"40","ObjectPut","147635:150059","0.510","false"
"41","ObjectPut","148989:154600","0.660","true"
"42","ObjectPut","149260:155617","0.950","true"
"43","ObjectPut","155140:159285","0.510","false"
"44","ObjectPut","170295:171758","0.420","false"
"45","ObjectPut","171222:173710","0.200","false"
"46","ObjectPut","179049:180000","0.600","false"
"1","PeopleMeet","5306:68716","0.120","false"
"2","PeopleMeet","121132:180000","0.310","false"
