"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","PersonRuns","2318:9549","0.710","false"
"2","PersonRuns","4595:5847","0.230","false"
"3","PersonRuns","4982:6433","0.230","false"
"4","PersonRuns","5324:12953","0.690","false"
"5","PersonRuns","10654:17911","0.050","false"
"6","PersonRuns","11063:18787","0.770","true"
"7","PersonRuns","18289:26352","0.700","false"
"8","PersonRuns","25835:33088","0.450","false"
"9","PersonRuns","39003:41406","0.250","false"
"10","PersonRuns","50603:57202","0.770","true"
"11","PersonRuns","53991:54266","0.650","false"
"12","PersonRuns","58950:62785","0.410","false"
"13","PersonRuns","60155:64728","0.180","false"
"14","PersonRuns","65240:71502","0.170","false"
"15","PersonRuns","71778:76682","0.750","false"
"16","PersonRuns","76791:79045","0.680","false"
"17","PersonRuns","77328:77981","0.410","false"
"18","PersonRuns","86674:89843","0.380","false"
"19","PersonRuns","90820:98505","0.590","false"
"20","PersonRuns","93410:93443","0.190","false"
"21","PersonRuns","98086:102399","0.610","false"
"22","PersonRuns","104652:112514","0.550","false"
"23","PersonRuns","104921:110670","0.950","true"
"24","PersonRuns","105334:105749","0.390","false"
"25","PersonRuns","106791:112336","0.920","true"
"26","PersonRuns","114456:121527","0.190","false"
"27","PersonRuns","114645:119482","0.850","true"
"28","PersonRuns","117337:119730","0.940","true"
"29","PersonRuns","121563:126521","0.310","false"
"30","PersonRuns","123889:129840","0.340","false"
"31","PersonRuns","124570:125433","0.660","false"
"32","PersonRuns","138492:145593","0.060","false"
"33","PersonRuns","140896:146722","0.290","false"
"34","PersonRuns","143753:148146","0.380","false"
"35","PersonRuns","147582:150230","0.170","false"
"36","PersonRuns","153534:159992","0.650","false"
"37","PersonRuns","154382:161856","0.830","true"
"38","PersonRuns","155554:156403","0.050","false"
"39","PersonRuns","156415:163712","0.010","false"
"40","PersonRuns","158268:161391","0.400","false"
"41","PersonRuns","162772:167179","0.000","false"
"42","PersonRuns","172627:175886","0.430","false"
"1","CellToEar","380:1078","0.940","true"
"2","CellToEar","4740:9801","0.380","false"
"3","CellToEar","13277:15472","0.360","false"
"4","CellToEar","15010:16065","0.790","true"
"5","CellToEar","23344:30658","0.870","true"
"6","CellToEar","29888:34112","0.000","false"
"7","CellToEar","32202:37855","0.800","true"
"8","CellToEar","34305:42630","0.840","true"
"9","CellToEar","35858:45744","0.850","true"
"10","CellToEar","39762:43058","0.860","true"
"11","CellToEar","44468:54149","0.810","true"
"12","CellToEar","47646:49936","0.970","true"
"13","CellToEar","78444:79917","0.040","false"
"14","CellToEar","80857:87551","0.600","true"
"15","CellToEar","82519:87237","0.940","true"
"16","CellToEar","83047:85989","0.940","true"
"17","CellToEar","105843:114534","0.380","false"
"18","CellToEar","107179:109836","0.530","true"
"19","CellToEar","108368:113886","0.070","false"
"20","CellToEar","110221:116942","0.510","true"
"21","CellToEar","111966:119456","0.180","false"
"22","CellToEar","114529:121535","0.000","false"
"23","CellToEar","115343:115931","0.690","true"
"24","CellToEar","115386:124156","0.650","true"
"25","CellToEar","115451:118683","0.280","false"
"26","CellToEar","124885:131242","0.720","true"
"27","CellToEar","139413:143799","0.700","true"
"28","CellToEar","140587:144149","0.570","true"
"29","CellToEar","150130:159159","0.920","true"
"30","CellToEar","157208:160774","0.170","false"
"31","CellToEar","157622:158158","0.450","true"
"32","CellToEar","164965:171994","0.940","true"
"33","CellToEar","165558:174051","0.530","true"
"34","CellToEar","172220:180000","0.570","true"
"35","CellToEar","173412:180000","0.950","true"
"36","CellToEar","179976:180000","0.850","true"
"1","ObjectPut","14331:96592","0.300","false"
"2","ObjectPut","73571:132193","0.910","true"
"3","ObjectPut","82054:116005","0.120","false"
"1","PeopleMeet","1832:3756","0.860","true"
"2","PeopleMeet","2274:3244","0.710","true"
"3","PeopleMeet","2939:3880","0.910","true"
"4","PeopleMeet","11688:12465","0.440","false"
"5","PeopleMeet","11752:14406","0.470","false"
"6","PeopleMeet","13153:14048","0.610","false"
"7","PeopleMeet","13442:16300","0.210","false"
"8","PeopleMeet","15080:19082","0.700","true"
"9","PeopleMeet","15434:15512","0.990","true"
"10","PeopleMeet","19736:21101","0.690","true"
"11","PeopleMeet","24625:25947","0.090","false"
"12","PeopleMeet","24634:24947","0.430","false"
"13","PeopleMeet","24785:26168","0.860","true"
"14","PeopleMeet","25098:28290","0.810","true"
"15","PeopleMeet","25338:27274","0.210","false"
"16","PeopleMeet","26555:28017","0.870","true"
"17","PeopleMeet","26711:30053","0.180","false"
"18","PeopleMeet","37364:39997","0.290","false"
"19","PeopleMeet","38987:42918","0.280","false"
"20","PeopleMeet","42810:44447","0.450","false"
"21","PeopleMeet","45206:48144","0.960","true"
"22","PeopleMeet","60718:60899","0.090","false"
"23","PeopleMeet","66220:66555","0.380","false"
"24","PeopleMeet","66521:69034","0.220","false"
"25","PeopleMeet","68795:72377","0.080","false"
