"ID","EventType","Framespan"
"1","CellToEar","1132:1150"
"2","ObjectPut","1204:1206"
"3","CellToEar","1680:1699"
"4","Pointing","1757:1819"
"5","Pointing","1821:1876"
"6","Pointing","1865:2023"
"7","Pointing","2071:2164"
"8","Pointing","2810:2880"
"9","Pointing","2904:2919"
"10","ObjectPut","3347:3350"
"11","ObjectPut","3407:3413"
"12","CellToEar","3786:3807"
"13","Pointing","4137:4228"
"14","CellToEar","5209:5228"
"15","Pointing","8195:8260"
"16","Pointing","8459:8494"
"17","Pointing","8556:8608"
"18","Pointing","8758:8762"
"19","CellToEar","10363:10386"
"20","PeopleMeet","12511:12557"
"21","CellToEar","13036:13049"
"22","ObjectPut","13037:13040"
"23","ObjectPut","13139:13277"
"24","ObjectPut","14572:14581"
"25","ObjectPut","14732:14739"
"26","CellToEar","14784:14797"
"27","ObjectPut","14826:14842"
"28","ObjectPut","14951:14973"
"29","ObjectPut","15653:15665"
"30","Pointing","16062:16104"
"31","CellToEar","16949:16977"
"32","PersonRuns","17265:17316"
"33","ObjectPut","17647:17653"
"34","CellToEar","17845:17865"
"35","ObjectPut","18026:18039"
"36","Pointing","18049:18058"
"37","Pointing","18267:18309"
"38","Pointing","18518:18536"
"39","Pointing","18687:18707"
"40","Pointing","18794:18814"
"41","Pointing","18915:18929"
"42","Pointing","18963:18978"
"43","Pointing","19903:19925"
"44","ObjectPut","20114:20119"
"45","ObjectPut","20324:20336"
"46","ObjectPut","20438:20465"
"47","Pointing","21638:21661"
"48","ObjectPut","21701:21705"
"49","ObjectPut","22006:22015"
"50","ObjectPut","22627:22634"
"51","ObjectPut","22760:22775"
"52","PeopleMeet","26230:26269"
"53","PeopleMeet","26412:26453"
"54","Embrace","26454:27142"
"55","PeopleMeet","26906:26940"
"56","Embrace","26941:26971"
"57","Embrace","26993:27184"
"58","Embrace","27047:27166"
"59","Embrace","27116:27151"
"60","Pointing","28025:28042"
"61","PeopleMeet","28647:28684"
"62","PeopleMeet","28775:28807"
"63","Embrace","28807:29279"
"64","PeopleMeet","30688:31027"
"65","Pointing","31411:31470"
"66","CellToEar","31603:31634"
"67","ObjectPut","32554:32643"
"68","ObjectPut","32586:32587"
"69","ObjectPut","32708:32769"
"70","ObjectPut","32882:32885"
"71","Pointing","33422:33459"
"72","PersonRuns","34076:34148"
"73","PeopleMeet","36203:36355"
"74","Pointing","36248:36262"
"75","ObjectPut","36345:36348"
"76","ObjectPut","36496:36498"
"77","ObjectPut","37681:37684"
"78","ObjectPut","37868:37871"
"79","Pointing","38201:38285"
"80","Pointing","38710:38741"
"81","ObjectPut","38880:38886"
"82","PeopleMeet","39132:39303"
"83","Pointing","39254:39298"
"84","Pointing","39284:39298"
"85","Pointing","39384:39396"
"86","Pointing","39833:39855"
"87","ObjectPut","40713:40715"
"88","ObjectPut","40897:40904"
"89","ObjectPut","41452:41460"
"90","PersonRuns","41812:41921"
"91","Pointing","42769:42783"
"92","ObjectPut","44764:44765"
"93","Pointing","45217:45225"
"94","ObjectPut","47662:47668"
