"ID","EventType","Framespan"
"1","Pointing","115:160"
"2","ObjectPut","425:430"
"3","ObjectPut","455:466"
"4","ObjectPut","480:490"
"5","Pointing","501:534"
"6","PeopleMeet","806:811"
"7","Pointing","866:948"
"8","Pointing","1119:1148"
"9","PeopleMeet","1397:1536"
"10","ObjectPut","1513:1517"
"11","Embrace","1523:1666"
"12","PeopleMeet","1594:1622"
"13","Pointing","1789:1820"
"14","ObjectPut","1795:1800"
"15","Pointing","1839:1847"
"16","PeopleMeet","1846:1892"
"17","Pointing","1922:2062"
"18","ObjectPut","2150:2156"
"19","Pointing","2317:2331"
"20","PeopleSplitUp","2452:2538"
"21","PeopleMeet","2768:2932"
"22","ObjectPut","2848:2855"
"23","PeopleMeet","2871:3072"
"24","Pointing","2904:2932"
"25","Embrace","2917:2994"
"26","Embrace","3030:3156"
"27","ObjectPut","3050:3056"
"28","Pointing","3070:3081"
"29","PersonRuns","3205:3243"
"30","Pointing","3428:3447"
"31","Pointing","3479:3521"
"32","ObjectPut","4787:4795"
"33","ObjectPut","4843:4849"
"34","PeopleMeet","4857:4949"
"35","Pointing","4925:4939"
"36","Pointing","5008:5014"
"37","Pointing","5131:5235"
"38","PeopleMeet","5159:5296"
"39","Pointing","5261:5336"
"40","Embrace","5282:5416"
"41","Pointing","5343:5353"
"42","Pointing","5360:5368"
"43","Pointing","5394:5507"
"44","Pointing","5521:5587"
"45","PeopleMeet","5650:5682"
"46","Pointing","5699:5753"
"47","Pointing","5793:5806"
"48","Pointing","6227:6283"
"49","PersonRuns","6355:6456"
"50","PeopleMeet","6438:6947"
"51","Embrace","6491:6618"
"52","PersonRuns","6587:6689"
"53","Embrace","6686:6767"
"54","PeopleSplitUp","6802:7024"
"55","Embrace","6872:7033"
"56","PersonRuns","7041:7111"
"57","PersonRuns","7054:7141"
"58","PersonRuns","7250:7285"
"59","PersonRuns","7391:7436"
"60","PersonRuns","7395:7417"
"61","PersonRuns","7483:7535"
"62","PeopleMeet","7996:8027"
"63","PeopleSplitUp","8314:8841"
"64","PeopleSplitUp","8349:8630"
"65","PeopleMeet","8417:8483"
"66","PeopleSplitUp","8741:8841"
"67","PeopleMeet","8844:12079"
"68","PeopleMeet","8865:9070"
"69","Pointing","9145:9192"
"70","PeopleSplitUp","9250:9342"
"71","PeopleMeet","9266:9328"
"72","Pointing","9365:9388"
"73","PeopleMeet","9386:9909"
"74","PeopleSplitUp","9480:9588"
"75","PeopleMeet","10057:10077"
"76","PeopleMeet","10336:10442"
"77","ObjectPut","10369:10375"
"78","PeopleSplitUp","10445:10534"
"79","ObjectPut","10461:10463"
"80","PeopleSplitUp","10507:10757"
"81","CellToEar","10591:10607"
"82","PeopleMeet","10722:10919"
"83","Pointing","11317:11356"
"84","PeopleMeet","12457:12567"
"85","PeopleMeet","12623:12697"
"86","ObjectPut","12651:12659"
"87","Pointing","12907:12941"
"88","PeopleMeet","13227:13305"
"89","PeopleMeet","14406:14414"
"90","PeopleMeet","15962:16038"
"91","Embrace","16022:16082"
"92","CellToEar","16239:16282"
"93","PeopleSplitUp","16999:17073"
"94","PeopleMeet","17002:17117"
"95","Embrace","17103:17176"
