"ID","EventType","Framespan"
"1","ObjectPut","53:84"
"2","Pointing","116:124"
"3","Embrace","359:574"
"4","ObjectPut","862:923"
"5","Pointing","1341:1422"
"6","ObjectPut","1344:1360"
"7","ObjectPut","1654:1658"
"8","ObjectPut","2774:2783"
"9","PeopleMeet","3595:3674"
"10","ObjectPut","5125:5143"
"11","ObjectPut","5673:5691"
"12","ObjectPut","5820:5882"
"13","ObjectPut","5844:5872"
"14","Pointing","6320:6360"
"15","ObjectPut","6399:6407"
"16","ObjectPut","6529:6533"
"17","Pointing","6609:6612"
"18","PeopleSplitUp","10656:11017"
"19","ObjectPut","10863:10874"
"20","PeopleMeet","11389:11417"
"21","CellToEar","11771:11782"
"22","CellToEar","12356:12372"
"23","PeopleMeet","13105:13231"
"24","ObjectPut","14287:14295"
"25","PeopleSplitUp","14460:14571"
"26","ObjectPut","16519:16541"
"27","PersonRuns","16653:16695"
"28","PeopleSplitUp","16714:16909"
"29","PersonRuns","16847:16903"
"30","CellToEar","17290:17300"
"31","ObjectPut","22087:22091"
"32","Pointing","22502:22532"
"33","Pointing","22542:22682"
"34","Pointing","22684:22701"
"35","CellToEar","23044:23053"
"36","Pointing","23095:23110"
"37","Pointing","23132:23152"
"38","Pointing","23726:23774"
"39","PeopleSplitUp","23814:24335"
"40","PersonRuns","24292:24432"
"41","PersonRuns","24293:24421"
"42","Pointing","26292:26306"
"43","Pointing","26293:26317"
"44","CellToEar","28740:28753"
"45","PeopleSplitUp","30808:30899"
"46","CellToEar","30886:30907"
"47","CellToEar","31204:31212"
"48","ObjectPut","32349:32376"
"49","ObjectPut","33149:33173"
"50","PeopleMeet","34052:34105"
"51","Embrace","34067:34160"
"52","Embrace","34211:34278"
"53","CellToEar","34667:34687"
"54","CellToEar","35408:35420"
"55","ObjectPut","36719:36730"
"56","PeopleMeet","37353:37463"
"57","Embrace","37381:37472"
"58","Embrace","37533:37575"
"59","Pointing","38681:38737"
"60","ObjectPut","38827:38831"
"61","PeopleMeet","39102:39357"
"62","ObjectPut","39322:39330"
"63","ObjectPut","39463:39481"
"64","Pointing","39675:39716"
"65","ObjectPut","39812:39822"
"66","Pointing","40673:40697"
"67","PeopleMeet","40674:40744"
"68","Embrace","40738:40791"
"69","ObjectPut","40759:40787"
"70","PeopleMeet","41275:41383"
"71","ObjectPut","41968:42084"
"72","Pointing","42169:42186"
"73","Pointing","44630:44645"
"74","CellToEar","45793:45876"
"75","PeopleMeet","47168:48003"
"76","ObjectPut","47373:47374"
"77","ObjectPut","47416:47419"
"78","Embrace","47951:48071"
"79","ObjectPut","49122:49128"
"80","CellToEar","52655:52673"
"81","ObjectPut","52871:52879"
"82","Pointing","53855:53912"
"83","CellToEar","56455:56469"
"84","Embrace","56949:57086"
"85","PeopleMeet","57830:57874"
"86","ObjectPut","58981:59028"
"87","ObjectPut","59119:59159"
"88","ObjectPut","59345:59436"
"89","Embrace","60154:60217"
"90","CellToEar","61324:61634"
"91","ObjectPut","61324:61335"
"92","ObjectPut","61348:61360"
"93","Pointing","64384:64452"
"94","ObjectPut","64760:64767"
"95","ObjectPut","66301:66311"
"96","Pointing","66329:66366"
"97","Pointing","66467:66478"
"98","Pointing","66510:66538"
"99","PersonRuns","66647:66923"
"100","PersonRuns","67018:67052"
"101","ObjectPut","68648:68678"
"102","ObjectPut","68660:68678"
"103","PersonRuns","68679:68745"
"104","CellToEar","69611:69631"
"105","ObjectPut","69716:69728"
"106","ObjectPut","69835:69842"
"107","ObjectPut","69844:69854"
"108","ObjectPut","70331:70348"
"109","Pointing","71566:71616"
"110","Embrace","76251:76278"
"111","PeopleMeet","76278:76494"
"112","Embrace","76305:76339"
"113","Embrace","76351:76391"
"114","Pointing","76352:76399"
"115","Embrace","76482:76573"
"116","CellToEar","76775:76802"
"117","PersonRuns","78543:78693"
"118","PeopleSplitUp","79532:79654"
"119","PeopleMeet","79788:79954"
"120","PeopleMeet","82398:82517"
"121","PeopleSplitUp","83546:83885"
"122","PeopleSplitUp","84278:84309"
"123","ObjectPut","84925:84927"
"124","ObjectPut","84961:84968"
"125","Embrace","85009:85042"
"126","ObjectPut","85084:85087"
"127","ObjectPut","85153:85153"
"128","ObjectPut","85268:85269"
"129","ObjectPut","85390:85391"
"130","ObjectPut","85428:85429"
"131","ObjectPut","85537:85538"
"132","ObjectPut","85662:85667"
"133","ObjectPut","85931:85932"
"134","Pointing","86116:86178"
"135","Pointing","86175:86228"
"136","Pointing","86230:86239"
"137","ObjectPut","86336:86339"
"138","Pointing","86432:86456"
"139","ObjectPut","86488:86513"
"140","ObjectPut","86644:86646"
"141","PeopleSplitUp","86756:86987"
"142","ObjectPut","87340:87343"
"143","ObjectPut","87455:87457"
"144","ObjectPut","88106:88118"
"145","ObjectPut","88450:88454"
"146","Pointing","88804:88830"
"147","PeopleSplitUp","88988:90217"
"148","ObjectPut","89222:89224"
"149","ObjectPut","90023:90025"
"150","ObjectPut","91533:91566"
"151","PeopleSplitUp","91569:91604"
"152","Pointing","91896:91900"
"153","CellToEar","92409:92425"
"154","PeopleMeet","93182:93366"
"155","CellToEar","93618:93628"
"156","ObjectPut","93789:93800"
"157","ObjectPut","93860:93919"
"158","PeopleMeet","95021:95165"
"159","ObjectPut","95625:95646"
"160","PeopleMeet","95744:95861"
"161","PeopleSplitUp","95834:96479"
"162","ObjectPut","95840:95849"
"163","ObjectPut","96154:96175"
"164","ObjectPut","96316:96341"
"165","Pointing","96710:96720"
"166","ObjectPut","96845:96876"
"167","CellToEar","98033:98046"
"168","ObjectPut","99380:99437"
"169","ObjectPut","99675:99701"
"170","Pointing","100449:100463"
