"ID","EventType","Framespan"
"1","Pointing","744:769"
"2","ObjectPut","1093:1101"
"3","PeopleSplitUp","1795:1863"
"4","CellToEar","2516:2533"
"5","Pointing","2784:2795"
"6","Pointing","3266:3298"
"7","Pointing","3853:3865"
"8","PeopleSplitUp","4107:4248"
"9","ObjectPut","4304:4318"
"10","PeopleMeet","4633:4724"
"11","Pointing","4674:4686"
"12","PersonRuns","4756:4800"
"13","PersonRuns","4823:4885"
"14","PeopleMeet","5636:5663"
"15","Pointing","5688:5700"
"16","PersonRuns","5859:5932"
"17","CellToEar","7399:7407"
"18","Pointing","7508:7513"
"19","PeopleSplitUp","7555:7698"
"20","Pointing","7944:7957"
"21","PeopleSplitUp","8222:8525"
"22","PeopleMeet","8469:8513"
"23","PeopleMeet","8601:8721"
"24","Pointing","8637:8663"
"25","CellToEar","8981:8994"
"26","PersonRuns","9375:9425"
"27","Pointing","9753:9759"
"28","Pointing","10288:10297"
"29","Pointing","10315:10326"
"30","Pointing","10371:10376"
"31","Pointing","10401:10419"
"32","Pointing","10436:10514"
"33","Pointing","10518:10556"
"34","Pointing","10911:10915"
"35","Pointing","11446:11447"
"36","ObjectPut","12412:12421"
"37","PeopleSplitUp","12458:12526"
"38","Pointing","12465:12525"
"39","ObjectPut","14614:14627"
"40","ObjectPut","14617:14628"
"41","ObjectPut","14703:14718"
"42","PeopleMeet","15023:15067"
"43","PeopleSplitUp","15328:15519"
"44","PeopleMeet","16366:16391"
"45","PeopleMeet","16427:16509"
"46","Pointing","16505:16519"
"47","Pointing","16524:16554"
"48","Pointing","16534:16546"
"49","Pointing","16573:16579"
"50","PeopleSplitUp","16660:16777"
"51","Pointing","16755:16755"
"52","Pointing","16755:16777"
"53","PeopleMeet","16937:16968"
"54","Pointing","17061:17085"
"55","PeopleMeet","17150:17500"
"56","Pointing","17756:17779"
"57","PeopleMeet","19248:19428"
"58","PersonRuns","19395:19474"
"59","PeopleMeet","19680:19756"
"60","PeopleSplitUp","19764:20249"
"61","PersonRuns","20466:20613"
"62","PeopleMeet","20803:20834"
"63","Pointing","20847:20873"
"64","Pointing","21061:21072"
"65","Pointing","21112:21128"
"66","Pointing","21154:21167"
"67","CellToEar","21342:21352"
"68","Pointing","21486:21494"
"69","PeopleMeet","22847:22907"
"70","Pointing","23583:23682"
"71","Pointing","23807:23820"
"72","Pointing","23960:23987"
"73","Embrace","26131:26241"
"74","Embrace","33635:33732"
"75","Pointing","33688:33702"
"76","PersonRuns","34491:34593"
"77","Pointing","35148:35159"
"78","PersonRuns","40833:40889"
"79","PersonRuns","40844:40896"
"80","PersonRuns","40868:40915"
"81","CellToEar","41332:41366"
"82","PeopleMeet","45076:45149"
"83","Pointing","45503:45581"
"84","Pointing","45609:45667"
"85","PeopleSplitUp","45751:45784"
"86","PeopleSplitUp","45755:45811"
"87","Pointing","47274:47302"
"88","PeopleMeet","50971:50995"
"89","PeopleMeet","52173:52205"
"90","PeopleMeet","52236:52280"
"91","Pointing","52753:52761"
"92","Pointing","53125:53143"
"93","Pointing","53593:53607"
"94","PeopleSplitUp","53800:53946"
"95","Pointing","53902:53921"
"96","PeopleSplitUp","54305:54639"
"97","PersonRuns","54442:54553"
"98","ObjectPut","55006:55069"
"99","ObjectPut","55036:55054"
"100","Pointing","56585:56588"
"101","Pointing","57124:57165"
"102","Pointing","57567:57579"
"103","Pointing","57777:57797"
"104","Pointing","57885:57904"
"105","Pointing","58287:58381"
"106","PeopleMeet","59295:59426"
"107","ObjectPut","59335:59349"
"108","Pointing","60027:60053"
"109","PersonRuns","60337:60411"
