"ID","EventType","Framespan"
"1","PeopleSplitUp","38:171"
"2","ObjectPut","50:53"
"3","PeopleMeet","1784:1835"
"4","PeopleMeet","3734:3769"
"5","PeopleSplitUp","3770:3841"
"6","PeopleSplitUp","5544:5732"
"7","PeopleMeet","5597:5700"
"8","PeopleMeet","5826:5913"
"9","PeopleMeet","5950:5990"
"10","ObjectPut","5995:5997"
"11","ObjectPut","6669:6690"
"12","PeopleSplitUp","6924:7133"
"13","Pointing","11046:11055"
"14","Pointing","11294:11342"
"15","Pointing","11466:11480"
"16","PeopleMeet","12043:12267"
"17","Pointing","13068:13068"
"18","ObjectPut","13195:13265"
"19","PeopleMeet","13601:13650"
"20","Pointing","13655:13702"
"21","Pointing","13694:13729"
"22","PeopleSplitUp","13732:14040"
"23","ObjectPut","14264:14268"
"24","ObjectPut","14324:14336"
"25","ObjectPut","14365:14382"
"26","PeopleMeet","15062:15143"
"27","ObjectPut","15744:15886"
"28","PeopleMeet","16070:16725"
"29","PeopleSplitUp","16912:17502"
"30","PeopleMeet","17683:17828"
"31","PeopleMeet","18407:18588"
"32","Pointing","22707:22758"
"33","ObjectPut","23942:23945"
"34","ObjectPut","24941:24943"
"35","ObjectPut","25713:25717"
"36","ObjectPut","26091:26094"
"37","ObjectPut","27709:27715"
"38","PeopleMeet","27818:27984"
"39","PeopleSplitUp","28592:29011"
"40","PeopleMeet","29814:30626"
"41","ObjectPut","30242:30250"
"42","PeopleMeet","30501:30667"
"43","Pointing","30548:30568"
"44","Pointing","30662:30684"
"45","Pointing","30826:30843"
"46","Pointing","30857:30861"
"47","ObjectPut","30861:30863"
"48","ObjectPut","31043:31047"
"49","PeopleMeet","31117:31765"
"50","ObjectPut","31156:31165"
"51","ObjectPut","31398:31400"
"52","ObjectPut","32062:32067"
"53","ObjectPut","32396:32420"
"54","ObjectPut","32500:32503"
"55","ObjectPut","32530:32552"
"56","ObjectPut","32705:32778"
"57","ObjectPut","32773:32777"
"58","ObjectPut","33211:33269"
"59","PeopleSplitUp","33635:34062"
"60","Pointing","33685:33704"
"61","Pointing","33760:33789"
"62","Pointing","34528:34541"
"63","ObjectPut","34858:34861"
"64","ObjectPut","34943:34946"
"65","PersonRuns","35418:35535"
"66","Pointing","37629:37637"
"67","Pointing","38295:38308"
"68","ObjectPut","39353:39360"
"69","PeopleMeet","39801:39952"
"70","ObjectPut","40572:40578"
"71","PeopleSplitUp","41373:41464"
"72","Pointing","41576:41596"
"73","Embrace","42778:42822"
"74","PeopleSplitUp","42870:42950"
"75","Pointing","42895:42902"
"76","ObjectPut","43083:43089"
"77","Pointing","44301:44310"
"78","Pointing","44374:44380"
"79","PeopleSplitUp","45652:45805"
"80","ObjectPut","45822:45876"
"81","ObjectPut","45822:45871"
"82","Pointing","46617:46632"
"83","ObjectPut","46674:46686"
"84","ObjectPut","46741:46750"
"85","Pointing","46796:46806"
"86","ObjectPut","46944:46956"
"87","ObjectPut","47584:47586"
"88","ObjectPut","47647:47649"
"89","ObjectPut","47660:47663"
"90","PeopleMeet","48048:48066"
"91","ObjectPut","48061:48073"
"92","ObjectPut","48383:48386"
"93","ObjectPut","48496:48500"
"94","ObjectPut","48565:48568"
"95","ObjectPut","49312:49314"
"96","ObjectPut","49327:49340"
"97","ObjectPut","49489:49517"
"98","PeopleSplitUp","49686:49874"
"99","Pointing","49808:49824"
"100","PeopleMeet","52943:52967"
"101","ObjectPut","53052:53093"
"102","Pointing","53751:53786"
"103","Pointing","53854:53903"
"104","Pointing","53907:53958"
"105","Pointing","54028:54086"
"106","ObjectPut","54153:54180"
"107","Pointing","54357:54374"
"108","ObjectPut","56005:56019"
"109","Pointing","56017:56019"
"110","Pointing","56527:56532"
"111","Pointing","56547:56643"
"112","PeopleMeet","56731:56778"
"113","ObjectPut","56769:56776"
"114","Pointing","56992:57185"
"115","Pointing","57078:57123"
"116","PeopleSplitUp","57111:57407"
"117","Pointing","57550:57569"
"118","Pointing","57587:57615"
"119","Pointing","57655:57696"
"120","Pointing","58755:58783"
"121","Pointing","59323:59386"
"122","ObjectPut","59379:59482"
"123","Pointing","59522:59532"
"124","Pointing","59573:59595"
"125","ObjectPut","59906:59937"
"126","Pointing","59994:59999"
"127","Pointing","62099:62115"
"128","Pointing","62129:62211"
"129","Pointing","62261:62271"
"130","PeopleMeet","62300:62378"
"131","Pointing","62345:62461"
"132","CellToEar","62363:62377"
"133","Pointing","62398:62473"
"134","PeopleMeet","65665:65725"
"135","ObjectPut","65681:65709"
"136","PeopleSplitUp","66063:66288"
"137","ObjectPut","68776:68779"
"138","Pointing","69198:69262"
"139","Pointing","69253:69264"
"140","Pointing","69265:69275"
"141","Pointing","69531:69540"
"142","Pointing","69891:69907"
"143","ObjectPut","70778:70794"
"144","PeopleMeet","71095:71154"
"145","Pointing","71825:71830"
"146","Pointing","71997:72016"
"147","Pointing","73384:73392"
"148","ObjectPut","73421:73425"
"149","PeopleMeet","74123:74194"
"150","Pointing","74161:74239"
"151","Pointing","74302:74405"
"152","Pointing","74378:74395"
"153","Pointing","74461:74498"
"154","Pointing","74556:74578"
"155","PeopleSplitUp","74642:74684"
"156","Pointing","74788:74818"
"157","Pointing","74850:74854"
"158","PeopleSplitUp","75050:75374"
"159","PeopleSplitUp","75245:75762"
"160","ObjectPut","75250:75252"
"161","PeopleMeet","75304:75358"
"162","ObjectPut","75305:75307"
"163","PeopleMeet","75419:75495"
"164","PeopleSplitUp","75616:75779"
"165","PeopleSplitUp","76134:76274"
"166","ObjectPut","76338:76340"
"167","Pointing","76658:76666"
"168","Pointing","77214:77267"
"169","PeopleMeet","77945:78030"
"170","Pointing","77986:78050"
"171","PeopleSplitUp","78033:78335"
"172","Pointing","78444:78485"
"173","CellToEar","79142:79162"
"174","PeopleSplitUp","79318:79444"
"175","PeopleMeet","81177:81248"
"176","ObjectPut","81537:81554"
"177","PeopleMeet","81608:81749"
"178","PeopleMeet","81610:81696"
"179","Pointing","81703:81760"
