"ID","EventType","Framespan"
"1","PersonRuns","2156:2255"
"2","PersonRuns","2280:2296"
"3","PersonRuns","2310:2401"
"4","PeopleMeet","3209:3459"
"5","CellToEar","3751:3761"
"6","ObjectPut","4920:4935"
"7","PersonRuns","6088:6187"
"8","PersonRuns","6254:6341"
"9","Pointing","6397:6407"
"10","Pointing","6422:6447"
"11","PersonRuns","6586:6701"
"12","PeopleMeet","7462:7747"
"13","PeopleMeet","7659:7749"
"14","ObjectPut","8621:8630"
"15","PersonRuns","8993:9115"
"16","ObjectPut","9503:9511"
"17","ObjectPut","9566:9596"
"18","ObjectPut","9730:9747"
"19","Pointing","9749:9758"
"20","ObjectPut","9759:9771"
"21","ObjectPut","9994:10338"
"22","ObjectPut","10528:10533"
"23","CellToEar","10932:10956"
"24","Pointing","11658:11690"
"25","Pointing","16561:16573"
"26","ObjectPut","17695:17772"
"27","Pointing","17792:17829"
"28","ObjectPut","19663:19681"
"29","PersonRuns","21014:21067"
"30","ObjectPut","23455:23507"
"31","PersonRuns","25255:25375"
"32","PeopleSplitUp","25707:25929"
"33","PeopleMeet","26151:26255"
"34","ObjectPut","26477:26495"
"35","PeopleMeet","28366:28459"
"36","PeopleSplitUp","28366:28366"
"37","PersonRuns","28380:28435"
"38","PersonRuns","28521:28599"
"39","ObjectPut","29446:29479"
"40","PeopleMeet","30046:30159"
"41","CellToEar","31791:31802"
"42","ObjectPut","34674:34715"
"43","CellToEar","35360:35388"
"44","PersonRuns","40434:40545"
"45","PersonRuns","40442:40566"
"46","PersonRuns","40447:40593"
"47","PeopleMeet","40475:40709"
"48","Pointing","43316:43321"
"49","Pointing","44283:44314"
"50","PersonRuns","50379:50445"
"51","ObjectPut","50774:50782"
"52","CellToEar","51787:51806"
"53","Pointing","51997:52035"
"54","Pointing","52800:52829"
"55","PeopleMeet","53698:53816"
"56","Embrace","53797:53907"
"57","ObjectPut","53913:53938"
"58","Embrace","53946:53988"
"59","ObjectPut","54070:54083"
"60","Embrace","54074:54113"
"61","CellToEar","54561:54580"
"62","Pointing","55235:55262"
"63","Pointing","55332:55337"
"64","PeopleMeet","55513:55572"
"65","Embrace","55572:55670"
"66","PeopleSplitUp","55760:56058"
"67","CellToEar","57124:57247"
"68","Pointing","57301:57304"
"69","PersonRuns","57420:57514"
"70","PersonRuns","57838:57945"
"71","PeopleMeet","57986:58043"
"72","Embrace","58003:58202"
"73","PersonRuns","58913:58976"
"74","PersonRuns","59873:59921"
"75","PersonRuns","60640:60764"
"76","PeopleMeet","61179:61523"
"77","PeopleSplitUp","63131:63552"
"78","PeopleSplitUp","64573:64682"
"79","Embrace","64657:64806"
"80","PeopleSplitUp","64984:65281"
"81","PeopleMeet","65229:66303"
"82","PeopleMeet","65749:65760"
"83","PeopleSplitUp","65760:65829"
"84","PeopleSplitUp","65969:66118"
"85","PeopleMeet","66735:66811"
"86","PeopleSplitUp","67843:68412"
"87","PeopleMeet","68049:68100"
"88","Pointing","68748:68816"
"89","PeopleMeet","68799:69089"
"90","PeopleMeet","68829:69083"
"91","ObjectPut","68903:68910"
"92","Pointing","68963:68973"
"93","ObjectPut","69016:69046"
"94","CellToEar","69038:69061"
"95","ObjectPut","69337:69690"
"96","ObjectPut","69905:70217"
"97","ObjectPut","70394:70407"
"98","ObjectPut","71199:71213"
