"ID","EventType","Framespan"
"1","Pointing","296:307"
"2","PeopleMeet","841:1002"
"3","ObjectPut","886:895"
"4","ObjectPut","3075:3079"
"5","ObjectPut","6416:6433"
"6","ObjectPut","7037:7041"
"7","PeopleMeet","9235:9326"
"8","Pointing","10137:10183"
"9","Pointing","10307:10323"
"10","Pointing","10840:10864"
"11","Pointing","12301:12317"
"12","Pointing","12588:12629"
"13","Embrace","12785:12896"
"14","ObjectPut","12832:12835"
"15","ObjectPut","14210:14213"
"16","PeopleSplitUp","14450:14497"
"17","PeopleMeet","14742:14793"
"18","Pointing","14836:14857"
"19","Pointing","14907:14971"
"20","PeopleSplitUp","14980:15323"
"21","ObjectPut","15658:15662"
"22","Pointing","16223:16237"
"23","Pointing","16261:16273"
"24","ObjectPut","16485:16510"
"25","PeopleSplitUp","16497:16666"
"26","Pointing","17365:17385"
"27","Pointing","17912:17948"
"28","PeopleSplitUp","17915:17997"
"29","ObjectPut","19162:19171"
"30","PeopleMeet","19673:19762"
"31","Pointing","19756:19851"
"32","Pointing","19852:19875"
"33","Pointing","19869:19885"
"34","PeopleSplitUp","19871:20057"
"35","PeopleMeet","20454:20629"
"36","PeopleMeet","20795:20899"
"37","Embrace","23925:24108"
"38","Embrace","24122:24967"
"39","PeopleMeet","25131:25210"
"40","Embrace","25153:25252"
"41","PeopleMeet","26368:26404"
"42","PeopleSplitUp","28221:28524"
"43","PeopleMeet","30524:30619"
"44","PeopleMeet","30543:30581"
"45","ObjectPut","30606:30617"
"46","Pointing","30614:30757"
"47","PeopleSplitUp","30642:30773"
"48","PeopleSplitUp","30791:31029"
"49","Pointing","31733:31757"
"50","PeopleMeet","31770:31811"
"51","Pointing","31833:31862"
"52","PeopleSplitUp","31863:32051"
"53","Pointing","32063:32088"
"54","Pointing","32114:32122"
"55","PeopleMeet","32160:32301"
"56","Pointing","32230:32243"
"57","Pointing","32387:32427"
"58","Pointing","32453:32465"
"59","PeopleSplitUp","32672:32769"
"60","Pointing","35033:35109"
"61","ObjectPut","36173:36198"
"62","PeopleSplitUp","36652:37007"
"63","Pointing","36884:36894"
"64","Embrace","36904:36937"
"65","PeopleMeet","37453:37482"
"66","PeopleSplitUp","37662:37700"
"67","ObjectPut","38261:38264"
"68","PeopleMeet","38374:38850"
"69","PeopleMeet","38394:38479"
"70","Pointing","38441:38464"
"71","Pointing","38516:38537"
"72","Pointing","38689:38696"
"73","ObjectPut","39079:39083"
"74","Pointing","39092:39100"
"75","Pointing","39243:39272"
"76","ObjectPut","39291:39306"
"77","ObjectPut","41295:41300"
"78","Pointing","42678:42809"
"79","PeopleSplitUp","42790:42993"
"80","PeopleSplitUp","43065:43095"
"81","Pointing","43542:43590"
"82","Pointing","43882:44000"
"83","PeopleSplitUp","44692:44914"
"84","CellToEar","46092:46104"
"85","PeopleMeet","46476:46532"
"86","PeopleMeet","46497:46576"
"87","CellToEar","47167:47178"
"88","PeopleMeet","47313:47391"
"89","Pointing","47560:47567"
"90","Pointing","47580:47623"
"91","Pointing","47634:47651"
"92","Pointing","47656:47670"
"93","CellToEar","47673:47685"
"94","Pointing","47676:47689"
"95","Pointing","47711:47716"
"96","Pointing","47866:47885"
"97","Pointing","47908:47914"
"98","Pointing","48190:48231"
"99","Pointing","48233:48287"
"100","Pointing","48294:48331"
"101","PeopleSplitUp","48548:48636"
"102","Pointing","48561:48573"
"103","PeopleSplitUp","49093:49273"
"104","ObjectPut","49384:49412"
"105","PeopleSplitUp","49532:49898"
"106","ObjectPut","49849:49859"
"107","PeopleMeet","50088:50146"
"108","CellToEar","50319:50342"
"109","CellToEar","51084:51101"
"110","PeopleMeet","53073:53138"
"111","Pointing","53462:53471"
"112","Pointing","53486:53500"
"113","ObjectPut","54546:54555"
"114","PeopleMeet","56998:57067"
"115","Pointing","57035:57055"
"116","Pointing","57075:57090"
"117","Pointing","57087:57103"
"118","Pointing","57312:57344"
"119","PeopleMeet","57339:57522"
"120","Pointing","57351:57368"
"121","PeopleMeet","57847:57913"
"122","Embrace","57913:57979"
"123","PeopleMeet","58131:58199"
"124","Pointing","61018:61042"
"125","Pointing","62014:62041"
"126","PeopleMeet","62038:62095"
"127","PeopleSplitUp","62352:62498"
"128","PersonRuns","63693:63729"
"129","Pointing","64338:64353"
"130","ObjectPut","64471:64500"
"131","ObjectPut","64511:64541"
"132","PeopleSplitUp","64543:64552"
"133","Pointing","66248:66276"
"134","Pointing","68006:68011"
"135","Pointing","68033:68064"
"136","Pointing","68284:68299"
"137","PeopleMeet","68674:68711"
"138","PeopleMeet","69186:69502"
"139","Pointing","69993:70093"
"140","Pointing","71243:71335"
"141","ObjectPut","72309:72318"
"142","PeopleSplitUp","73032:73157"
"143","ObjectPut","73189:73194"
