"ID","EventType","Framespan"
"1","PeopleSplitUp","236:390"
"2","PeopleSplitUp","553:682"
"3","PeopleMeet","829:850"
"4","PeopleSplitUp","1881:2019"
"5","PeopleMeet","2194:2333"
"6","PeopleSplitUp","2511:2569"
"7","PeopleMeet","2575:2593"
"8","PersonRuns","3182:3289"
"9","PeopleMeet","3709:3829"
"10","PeopleMeet","3837:3870"
"11","Pointing","4341:4363"
"12","PeopleMeet","4968:5060"
"13","PeopleMeet","5086:5195"
"14","Pointing","5231:5250"
"15","PeopleMeet","5258:5302"
"16","Pointing","5353:5440"
"17","PeopleMeet","5702:5725"
"18","Pointing","6057:6311"
"19","PeopleMeet","6318:6360"
"20","PeopleSplitUp","6361:6638"
"21","Pointing","6438:6855"
"22","PeopleMeet","6873:6985"
"23","Pointing","6969:7383"
"24","PeopleSplitUp","7352:7418"
"25","Pointing","7764:7776"
"26","Pointing","7844:7855"
"27","Pointing","7960:8096"
"28","Pointing","8111:8167"
"29","Pointing","8279:8295"
"30","Pointing","8300:8323"
"31","Pointing","8327:8391"
"32","PeopleMeet","8350:8444"
"33","Pointing","8760:8766"
"34","Pointing","8909:8942"
"35","Pointing","9111:9151"
"36","Pointing","9137:9149"
"37","Pointing","9398:9436"
"38","Pointing","9508:9584"
"39","Pointing","9597:9659"
"40","Pointing","9793:9811"
"41","Pointing","9985:10056"
"42","Pointing","10254:10280"
"43","ObjectPut","10725:10749"
"44","PeopleMeet","10886:11008"
"45","PersonRuns","10978:11005"
"46","Embrace","11003:11071"
"47","Pointing","11120:11146"
"48","Pointing","11361:11382"
"49","PeopleMeet","11505:11560"
"50","PeopleSplitUp","11655:11717"
"51","PeopleSplitUp","11669:11906"
"52","Pointing","11989:12019"
"53","Pointing","12440:12448"
"54","ObjectPut","12559:12577"
"55","Pointing","12626:12715"
"56","Pointing","15053:15087"
"57","PeopleSplitUp","16622:16791"
"58","PeopleMeet","17532:17571"
"59","PeopleSplitUp","17560:17890"
"60","ObjectPut","17731:18355"
"61","PeopleMeet","23449:23506"
"62","PeopleMeet","24115:24246"
"63","ObjectPut","26518:26595"
"64","Pointing","26965:27040"
"65","PeopleMeet","31743:31833"
"66","PeopleSplitUp","32062:32139"
"67","PeopleSplitUp","32315:32446"
"68","PeopleMeet","33536:33587"
"69","PeopleSplitUp","34782:34901"
"70","PeopleMeet","35243:35431"
"71","PeopleMeet","37412:37508"
"72","PeopleSplitUp","37680:38250"
"73","PeopleSplitUp","37689:37809"
"74","PeopleMeet","37807:37879"
"75","PeopleSplitUp","37879:38250"
"76","PeopleSplitUp","38315:38633"
"77","PeopleMeet","38605:38694"
"78","PeopleSplitUp","38707:45875"
"79","PeopleMeet","39737:39762"
"80","PeopleSplitUp","39770:39806"
"81","PeopleMeet","40339:40363"
"82","PeopleSplitUp","40392:40458"
"83","PeopleMeet","40917:40944"
"84","PeopleMeet","42228:42264"
"85","PeopleSplitUp","43619:45190"
"86","PeopleMeet","43690:43707"
"87","PeopleSplitUp","43690:43902"
"88","PeopleMeet","44016:44064"
"89","Pointing","44098:44238"
"90","Pointing","44135:44179"
"91","PeopleSplitUp","44369:44655"
"92","PeopleMeet","45746:45812"
"93","PeopleMeet","46415:46547"
"94","PeopleSplitUp","46987:47135"
"95","PeopleMeet","47012:47055"
"96","PeopleMeet","48085:48107"
"97","Pointing","48727:48784"
"98","PeopleSplitUp","49226:49372"
"99","PeopleMeet","49899:49942"
"100","PeopleSplitUp","51150:51481"
"101","PeopleMeet","51965:52051"
"102","PeopleSplitUp","52069:52098"
"103","PeopleSplitUp","52453:52604"
"104","PeopleMeet","52700:52854"
"105","PeopleSplitUp","52935:53008"
"106","PeopleMeet","53228:53243"
"107","PeopleMeet","53259:53356"
"108","PeopleSplitUp","54426:54500"
"109","PeopleMeet","55068:55149"
"110","PeopleMeet","55105:55140"
"111","PeopleSplitUp","55505:55686"
"112","PeopleSplitUp","57157:58917"
"113","PeopleMeet","57176:57374"
"114","PeopleSplitUp","57915:58203"
"115","PeopleSplitUp","58751:58916"
"116","PeopleMeet","58953:58994"
"117","PeopleMeet","59024:59066"
"118","PeopleSplitUp","59059:60413"
"119","Pointing","59417:59435"
"120","Pointing","59507:59529"
"121","PeopleMeet","59851:59972"
"122","ObjectPut","59995:60024"
"123","PeopleMeet","60132:60152"
"124","PeopleSplitUp","60264:60447"
"125","ObjectPut","60356:60364"
"126","PeopleMeet","60867:60941"
"127","PeopleSplitUp","61001:61559"
"128","PeopleMeet","61349:61544"
"129","PeopleMeet","61606:61742"
"130","PeopleSplitUp","61667:61675"
"131","Pointing","62092:62165"
"132","PeopleMeet","62102:62187"
"133","Pointing","62186:62214"
"134","Pointing","62251:62277"
"135","PeopleSplitUp","62270:62533"
"136","PeopleMeet","62307:62504"
"137","PeopleSplitUp","62498:62694"
"138","PeopleSplitUp","63046:63297"
"139","Pointing","63244:63254"
"140","Pointing","63729:63770"
"141","PeopleMeet","63758:63806"
"142","PeopleSplitUp","63991:64223"
"143","PeopleMeet","64296:64344"
"144","PeopleMeet","65320:65372"
"145","ObjectPut","65630:65658"
"146","PeopleSplitUp","66320:66487"
"147","PeopleSplitUp","66329:66539"
"148","PeopleMeet","66436:66514"
"149","PeopleMeet","67325:67375"
"150","PeopleMeet","67701:67949"
"151","PeopleMeet","68228:68286"
"152","PeopleSplitUp","69208:69692"
"153","PeopleSplitUp","69341:69494"
"154","PeopleMeet","69395:69453"
"155","PeopleSplitUp","70148:70284"
"156","PeopleMeet","70268:70326"
"157","Pointing","70340:70431"
"158","Pointing","74395:74402"
