"ID","EventType","Framespan"
"1","PeopleMeet","1146:1230"
"2","PeopleSplitUp","1261:1534"
"3","PeopleMeet","1692:1791"
"4","PeopleSplitUp","1861:2173"
"5","PeopleMeet","2193:2404"
"6","PeopleMeet","2285:2417"
"7","PeopleSplitUp","2387:2529"
"8","PeopleMeet","3833:4134"
"9","ObjectPut","4457:4460"
"10","PeopleMeet","5060:5172"
"11","PeopleMeet","5657:5936"
"12","Pointing","5978:6053"
"13","Pointing","6008:6055"
"14","PeopleSplitUp","6395:6514"
"15","PeopleSplitUp","6546:7018"
"16","PeopleMeet","6907:7008"
"17","PeopleMeet","8216:8299"
"18","PeopleMeet","8896:9107"
"19","PeopleMeet","9309:9410"
"20","Pointing","9572:9691"
"21","Pointing","9725:9886"
"22","PeopleSplitUp","9847:9936"
"23","ObjectPut","10067:10096"
"24","PeopleSplitUp","10184:10360"
"25","Pointing","10195:10226"
"26","Pointing","10576:10591"
"27","PeopleMeet","10614:10709"
"28","Pointing","10661:10690"
"29","Pointing","10700:10727"
"30","PeopleSplitUp","11591:12016"
"31","Pointing","12533:12567"
"32","Pointing","12853:13059"
"33","PeopleMeet","13031:13205"
"34","Pointing","13064:13228"
"35","Pointing","14567:14584"
"36","Pointing","14591:14606"
"37","Pointing","14720:14767"
"38","Pointing","15472:15548"
"39","Pointing","15866:15914"
"40","Pointing","15905:15978"
"41","Pointing","16033:16052"
"42","Pointing","16067:16080"
"43","Pointing","16452:16488"
"44","Pointing","17051:17135"
"45","Pointing","17163:17175"
"46","Pointing","17226:17240"
"47","Pointing","17229:17257"
"48","PeopleSplitUp","17903:18468"
"49","PeopleMeet","18023:18114"
"50","Pointing","18204:18285"
"51","PeopleSplitUp","18280:18454"
"52","Pointing","18462:18495"
"53","Pointing","18524:18562"
"54","PeopleMeet","18556:18594"
"55","ObjectPut","18761:18766"
"56","PeopleSplitUp","20214:20689"
"57","PeopleMeet","22500:22549"
"58","PeopleSplitUp","22559:22905"
"59","PeopleMeet","25058:25117"
"60","Pointing","25106:25190"
"61","PeopleMeet","25180:25270"
"62","Pointing","25215:25333"
"63","PeopleSplitUp","25346:25728"
"64","PeopleSplitUp","25346:25743"
"65","ObjectPut","26773:26824"
"66","PeopleMeet","28089:28299"
"67","Pointing","28304:28390"
"68","Pointing","28960:29041"
"69","Pointing","29058:29110"
"70","PeopleSplitUp","29155:29489"
"71","PeopleSplitUp","31763:31789"
"72","ObjectPut","32761:32901"
"73","PeopleMeet","33468:33536"
"74","PeopleSplitUp","33526:33657"
"75","Pointing","33785:33791"
"76","PeopleMeet","35285:35336"
"77","PeopleSplitUp","35502:35738"
"78","Pointing","35884:35891"
"79","ObjectPut","36685:36688"
"80","PeopleMeet","36715:36844"
"81","PeopleSplitUp","38126:38205"
"82","Pointing","38809:38824"
"83","Pointing","38953:38954"
"84","Pointing","39059:39060"
"85","Pointing","39141:39144"
"86","Pointing","39155:39216"
"87","Pointing","39654:39674"
"88","Pointing","39657:39678"
"89","PeopleMeet","40088:40203"
"90","Pointing","40186:40202"
"91","Pointing","40212:40221"
"92","Pointing","40230:40235"
"93","Pointing","40364:40389"
"94","Pointing","40364:40393"
"95","Pointing","40398:40402"
"96","Pointing","40400:40411"
"97","Pointing","40450:40450"
"98","Pointing","40453:40455"
"99","Pointing","40502:40509"
"100","Pointing","40522:40524"
"101","Pointing","40526:40558"
"102","Pointing","40527:40529"
"103","Pointing","40567:40587"
"104","PeopleMeet","40579:40623"
"105","Pointing","40605:40610"
"106","Pointing","40629:40664"
"107","ObjectPut","40630:40635"
"108","Pointing","40672:40686"
"109","ObjectPut","40741:40875"
"110","PeopleSplitUp","40899:41203"
"111","ObjectPut","41154:41213"
"112","Pointing","41179:41182"
"113","ObjectPut","41426:41450"
"114","Pointing","41462:41466"
"115","ObjectPut","42180:42213"
"116","ObjectPut","42619:42735"
"117","Pointing","43339:43356"
"118","Pointing","45073:45086"
"119","Pointing","45074:45085"
"120","Pointing","45237:45308"
"121","Pointing","45324:45341"
"122","ObjectPut","45789:45797"
"123","PeopleMeet","45817:45916"
"124","PeopleSplitUp","45825:46077"
"125","ObjectPut","46288:46299"
"126","Pointing","46288:46330"
"127","PeopleMeet","46301:46405"
"128","PeopleSplitUp","46744:46867"
"129","PeopleSplitUp","46832:47010"
"130","ObjectPut","46835:46844"
"131","PeopleMeet","47028:47124"
"132","PeopleSplitUp","47468:47505"
"133","ObjectPut","47645:47657"
"134","PeopleMeet","47744:47796"
"135","ObjectPut","47807:47815"
"136","PeopleMeet","48051:48099"
"137","PeopleMeet","48109:48191"
"138","Pointing","48204:48251"
"139","Pointing","48260:48263"
"140","Pointing","48283:48316"
"141","PeopleSplitUp","48332:48607"
"142","Pointing","48404:48407"
"143","Pointing","48472:48481"
"144","ObjectPut","48928:48934"
"145","ObjectPut","49083:49093"
"146","ObjectPut","49124:49131"
"147","Pointing","49374:49382"
"148","ObjectPut","50294:50425"
"149","Pointing","50947:50953"
"150","Pointing","51068:51073"
"151","ObjectPut","51350:51579"
"152","PersonRuns","52454:52484"
"153","Pointing","53980:53984"
"154","ObjectPut","54215:54351"
"155","Pointing","54237:54247"
"156","Pointing","54429:54453"
"157","Pointing","54458:54502"
"158","ObjectPut","54835:54856"
"159","ObjectPut","54948:54975"
"160","Pointing","57316:57336"
"161","Pointing","59075:59131"
"162","Pointing","59218:59233"
"163","ObjectPut","60825:60835"
"164","PeopleMeet","64748:64807"
"165","PeopleMeet","67005:67179"
"166","PeopleMeet","67053:67064"
"167","Pointing","67085:67136"
"168","Pointing","67217:67256"
"169","Pointing","67295:67307"
"170","Pointing","67325:67341"
"171","Pointing","67409:67426"
"172","Pointing","67419:67430"
"173","PeopleMeet","67864:67878"
"174","PeopleSplitUp","67894:68278"
"175","PeopleSplitUp","68761:68941"
"176","Pointing","69425:69431"
"177","Pointing","70391:70397"
"178","PeopleSplitUp","70445:70534"
"179","Pointing","70920:70990"
"180","PeopleMeet","70930:71011"
"181","Pointing","72875:72927"
"182","Pointing","73038:73047"
"183","Pointing","73106:73112"
"184","Pointing","73181:73187"
"185","Pointing","73268:73278"
"186","Embrace","73564:73734"
"187","Pointing","73760:73777"
"188","Pointing","75713:75727"
"189","ObjectPut","84579:84584"
"190","ObjectPut","84662:84664"
"191","PeopleMeet","84785:84855"
"192","PeopleMeet","86199:86393"
"193","Pointing","86374:86402"
"194","PeopleSplitUp","86389:86653"
"195","PeopleMeet","86896:86951"
"196","PeopleSplitUp","88583:88964"
"197","ObjectPut","88837:88838"
"198","ObjectPut","88902:88906"
"199","ObjectPut","89230:89231"
"200","ObjectPut","89823:89825"
"201","ObjectPut","90078:90082"
"202","PeopleMeet","91493:91543"
"203","PeopleMeet","91501:91534"
"204","Pointing","91609:91627"
"205","ObjectPut","92237:92239"
"206","PeopleMeet","93108:93170"
"207","Pointing","93781:93812"
"208","PeopleSplitUp","94283:94412"
"209","ObjectPut","94289:94308"
"210","PeopleSplitUp","95196:95392"
"211","PeopleSplitUp","95568:95857"
"212","PeopleMeet","96076:96485"
"213","Pointing","96350:96397"
"214","Pointing","97577:97630"
"215","Pointing","97645:97652"
"216","PeopleSplitUp","98400:98514"
"217","PeopleSplitUp","99028:99173"
"218","PeopleMeet","103449:103789"
"219","PeopleMeet","103691:103782"
"220","PeopleSplitUp","103796:103885"
"221","PeopleSplitUp","104316:104423"
"222","PeopleSplitUp","105254:105455"
"223","PeopleMeet","105643:105762"
"224","PeopleSplitUp","106360:106531"
"225","Pointing","107511:107541"
"226","Pointing","107710:107758"
"227","Pointing","107910:107947"
"228","PeopleMeet","107946:108074"
"229","PersonRuns","107961:108020"
"230","PeopleSplitUp","108733:109099"
"231","PeopleSplitUp","108923:109020"
"232","Pointing","110790:110820"
"233","PeopleMeet","112121:112225"
"234","PeopleMeet","112228:112289"
"235","PeopleMeet","113856:113967"
"236","PeopleSplitUp","114004:114278"
"237","ObjectPut","114520:114522"
"238","Pointing","116700:116724"
"239","Pointing","116828:117029"
"240","Pointing","119235:119250"
"241","Pointing","122304:122343"
"242","ObjectPut","122496:122508"
"243","ObjectPut","122743:122748"
"244","ObjectPut","122912:122926"
"245","ObjectPut","122917:122925"
"246","PeopleMeet","122958:123012"
"247","ObjectPut","123122:123171"
"248","PeopleSplitUp","123348:123459"
"249","Pointing","123435:123476"
"250","PeopleSplitUp","123615:123757"
"251","PeopleMeet","124066:124157"
"252","ObjectPut","124155:124208"
"253","ObjectPut","124176:124186"
"254","ObjectPut","124739:124755"
"255","PeopleSplitUp","124963:125443"
"256","PeopleMeet","125047:125089"
"257","PeopleSplitUp","125135:125271"
"258","Pointing","125140:125146"
"259","Pointing","125176:125183"
"260","PeopleMeet","125287:125344"
"261","ObjectPut","125414:125421"
"262","ObjectPut","126081:126090"
"263","ObjectPut","126438:126443"
"264","ObjectPut","126525:126584"
"265","ObjectPut","126589:126601"
"266","ObjectPut","126613:126619"
"267","ObjectPut","127092:127112"
"268","PeopleSplitUp","127213:127781"
"269","ObjectPut","127246:127260"
"270","ObjectPut","127274:127284"
"271","ObjectPut","127488:127549"
"272","Pointing","127580:127672"
"273","ObjectPut","127621:127629"
"274","PeopleSplitUp","127840:128007"
"275","PeopleMeet","128124:128221"
"276","ObjectPut","128210:128220"
"277","PeopleSplitUp","128220:128302"
"278","ObjectPut","128239:128247"
"279","PeopleMeet","128462:128565"
"280","PeopleMeet","129293:129320"
"281","ObjectPut","129313:129327"
"282","Pointing","129361:129410"
"283","ObjectPut","129448:129495"
"284","PeopleMeet","129457:129484"
"285","Pointing","129525:129552"
"286","PeopleMeet","129910:130039"
"287","PeopleMeet","129911:130024"
"288","Pointing","130424:130432"
"289","ObjectPut","131002:131014"
"290","PeopleSplitUp","131323:131383"
"291","Pointing","131857:131863"
"292","PeopleMeet","131876:131902"
"293","ObjectPut","132607:132621"
"294","PeopleSplitUp","132670:132697"
"295","PeopleMeet","132841:132879"
"296","PeopleMeet","132916:132937"
"297","PeopleSplitUp","132977:133190"
"298","PeopleSplitUp","132994:133301"
"299","PeopleMeet","133049:133120"
"300","ObjectPut","133935:133938"
"301","PeopleMeet","134129:134171"
"302","PeopleSplitUp","134170:134236"
"303","PeopleMeet","134352:134449"
"304","PeopleSplitUp","134611:136082"
"305","PeopleMeet","135205:135236"
"306","PeopleMeet","135558:135616"
"307","PeopleMeet","135583:135726"
"308","PeopleSplitUp","136519:136664"
"309","ObjectPut","136592:136595"
"310","PeopleSplitUp","136608:136695"
"311","PeopleMeet","136723:136780"
"312","PeopleMeet","137085:137117"
"313","PeopleMeet","137118:137177"
"314","Pointing","137710:137724"
"315","ObjectPut","138018:138034"
"316","Pointing","138573:138734"
"317","Pointing","138847:138854"
"318","ObjectPut","139258:139275"
"319","ObjectPut","139600:139635"
"320","Pointing","143938:144079"
"321","PeopleSplitUp","144961:145101"
"322","PeopleSplitUp","144968:145065"
"323","PeopleMeet","145066:145137"
"324","PeopleSplitUp","145137:145319"
"325","PeopleMeet","145230:145374"
"326","PeopleMeet","145422:145486"
"327","PeopleSplitUp","145655:145763"
"328","PeopleMeet","145740:145786"
"329","Pointing","146035:146052"
"330","ObjectPut","146153:146162"
"331","ObjectPut","146168:146171"
"332","ObjectPut","146234:146269"
"333","ObjectPut","146274:146281"
"334","PeopleMeet","146515:146550"
"335","PeopleSplitUp","146548:146579"
"336","ObjectPut","146960:146964"
"337","PeopleSplitUp","147264:147467"
"338","ObjectPut","147433:147460"
"339","ObjectPut","147471:147483"
"340","ObjectPut","147478:147483"
"341","PeopleSplitUp","147728:147955"
"342","PeopleMeet","147812:147834"
"343","ObjectPut","147841:147904"
"344","PeopleSplitUp","148275:148572"
"345","PeopleMeet","148438:148462"
"346","Pointing","148478:148502"
"347","Pointing","148623:148691"
"348","Pointing","148653:148672"
"349","Pointing","148748:148751"
"350","PeopleMeet","148778:148795"
"351","PeopleSplitUp","148862:149206"
"352","PeopleSplitUp","148875:149292"
