"ID","EventType","Framespan"
"1","ObjectPut","1350:1353"
"2","ObjectPut","3098:3100"
"3","ObjectPut","3147:3154"
"4","ObjectPut","3166:3173"
"5","ObjectPut","3321:3324"
"6","Embrace","3362:3620"
"7","ObjectPut","3907:3911"
"8","PeopleSplitUp","4030:4154"
"9","ObjectPut","4043:4046"
"10","ObjectPut","4092:4094"
"11","PeopleMeet","6900:7008"
"12","Embrace","6998:7022"
"13","ObjectPut","9161:9192"
"14","CellToEar","9325:9340"
"15","ObjectPut","9385:9401"
"16","CellToEar","10268:10318"
"17","CellToEar","10308:10318"
"18","CellToEar","11466:11487"
"19","PeopleMeet","12058:12113"
"20","Embrace","12058:12104"
"21","Embrace","12263:12339"
"22","Embrace","12355:12405"
"23","PeopleMeet","13008:13088"
"24","PeopleMeet","13361:13808"
"25","Pointing","14067:14151"
"26","PeopleMeet","15484:15574"
"27","Embrace","16447:16462"
"28","Pointing","16530:16606"
"29","PeopleMeet","18790:18833"
"30","ObjectPut","18794:18809"
"31","Embrace","18834:18878"
"32","ObjectPut","18865:18881"
"33","PeopleMeet","19093:19145"
"34","PeopleMeet","21074:21108"
"35","PeopleMeet","22551:22663"
"36","Pointing","22654:22681"
"37","Pointing","23521:23537"
"38","Pointing","23859:23889"
"39","Pointing","23935:23972"
"40","ObjectPut","25071:25081"
"41","Pointing","25825:25855"
"42","PeopleSplitUp","26226:26580"
"43","Pointing","26581:26625"
"44","PersonRuns","28102:28218"
"45","PeopleMeet","30891:31022"
"46","PeopleMeet","35330:35407"
"47","PeopleMeet","37590:37697"
"48","ObjectPut","40571:40612"
"49","PeopleMeet","40900:41010"
"50","ObjectPut","40976:40995"
"51","Pointing","41814:41825"
"52","Pointing","41908:41929"
"53","Pointing","41940:41964"
"54","PeopleSplitUp","43027:43081"
"55","PersonRuns","43954:43988"
"56","ObjectPut","45603:45617"
"57","Pointing","45857:45872"
"58","Pointing","45857:45870"
"59","Pointing","45955:46121"
"60","PeopleMeet","46414:46704"
"61","Pointing","50098:50103"
"62","Pointing","50712:50718"
"63","Pointing","50773:50777"
"64","ObjectPut","50788:50807"
"65","Pointing","51849:51861"
"66","ObjectPut","52109:52113"
"67","PeopleMeet","52158:52269"
"68","Embrace","52261:52339"
"69","Pointing","52837:52862"
"70","Pointing","53268:53279"
"71","Pointing","53352:53380"
"72","Pointing","53413:53413"
"73","Pointing","55514:55576"
"74","PeopleMeet","56646:56951"
"75","Pointing","56819:56831"
"76","Pointing","57434:57450"
"77","PeopleMeet","58644:58808"
"78","Pointing","58711:58720"
"79","Pointing","61001:61007"
"80","Pointing","62040:62064"
"81","Pointing","62113:62127"
"82","Pointing","62754:62775"
"83","Pointing","63169:63181"
"84","Pointing","63499:63520"
"85","PersonRuns","63680:63761"
"86","ObjectPut","63835:63837"
"87","PeopleSplitUp","63997:64551"
"88","Pointing","64067:64116"
"89","PersonRuns","64189:64245"
"90","ObjectPut","64693:64695"
"91","PeopleMeet","64762:64873"
"92","Pointing","64811:64823"
"93","ObjectPut","64935:64981"
"94","Pointing","64939:64955"
"95","ObjectPut","65006:65044"
