"ID","EventType","Framespan"
"1","ObjectPut","186:190"
"2","Embrace","471:556"
"3","CellToEar","1177:1210"
"4","Pointing","6972:7043"
"5","ObjectPut","6990:7005"
"6","CellToEar","8014:8026"
"7","ObjectPut","8032:8042"
"8","Pointing","8717:8741"
"9","ObjectPut","9040:9040"
"10","PeopleSplitUp","9302:9414"
"11","PeopleMeet","10937:10963"
"12","PeopleMeet","11202:11298"
"13","Embrace","11275:11609"
"14","CellToEar","11661:11676"
"15","PeopleMeet","13292:13311"
"16","Pointing","13301:13619"
"17","PeopleMeet","13310:13422"
"18","Pointing","13522:13589"
"19","PeopleSplitUp","13697:13864"
"20","PeopleMeet","15093:15128"
"21","Pointing","15411:15417"
"22","Pointing","15492:15500"
"23","Pointing","15587:15611"
"24","ObjectPut","15883:15918"
"25","Pointing","16651:16658"
"26","PersonRuns","17856:17907"
"27","Pointing","19030:19035"
"28","Pointing","19064:19159"
"29","Pointing","19099:19105"
"30","Pointing","19197:19204"
"31","ObjectPut","19448:19452"
"32","Pointing","20230:20240"
"33","Pointing","21400:21437"
"34","Pointing","22300:22314"
"35","Pointing","23807:23818"
"36","PeopleMeet","25241:25304"
"37","CellToEar","25457:25466"
"38","CellToEar","25698:25712"
"39","PeopleMeet","26035:26452"
"40","ObjectPut","27522:27528"
"41","Pointing","27666:27738"
"42","ObjectPut","27907:27913"
"43","Pointing","27986:27991"
"44","ObjectPut","28712:28724"
"45","ObjectPut","28779:28790"
"46","Pointing","28807:28847"
"47","Pointing","28846:28860"
"48","Pointing","28893:28916"
"49","ObjectPut","29289:29317"
"50","ObjectPut","29305:29382"
"51","Pointing","29312:29349"
"52","ObjectPut","29330:29342"
"53","ObjectPut","29442:29451"
"54","PeopleMeet","29582:29628"
"55","Pointing","29869:29873"
"56","ObjectPut","29897:29904"
"57","PeopleMeet","30741:30763"
"58","Pointing","30771:30782"
"59","PeopleSplitUp","30773:30826"
"60","ObjectPut","31167:31174"
"61","PeopleMeet","31189:31391"
"62","PeopleSplitUp","31396:31587"
"63","Pointing","32147:32169"
"64","Pointing","32890:32930"
"65","Embrace","32907:32963"
"66","Pointing","33016:33066"
"67","ObjectPut","34334:34344"
