"ID","EventType","Framespan"
"1","PeopleMeet","499:588"
"2","PeopleMeet","1103:1339"
"3","Pointing","1310:1320"
"4","PeopleMeet","1736:1783"
"5","Pointing","1873:1948"
"6","PeopleSplitUp","2187:2396"
"7","Pointing","2773:2786"
"8","Pointing","2802:2823"
"9","PeopleMeet","2900:2954"
"10","PeopleSplitUp","2957:3071"
"11","PeopleMeet","3132:3245"
"12","PeopleSplitUp","3271:3360"
"13","ObjectPut","5165:5174"
"14","PeopleMeet","5167:5210"
"15","ObjectPut","5195:5206"
"16","Embrace","5210:5473"
"17","PeopleMeet","6080:6145"
"18","Embrace","6145:6234"
"19","CellToEar","6657:6665"
"20","ObjectPut","6951:6959"
"21","PeopleMeet","7006:7079"
"22","PeopleMeet","7076:7088"
"23","Embrace","7077:7102"
"24","Embrace","7088:7132"
"25","PeopleMeet","7203:7239"
"26","Pointing","7393:7414"
"27","Embrace","7922:8473"
"28","Pointing","7934:7944"
"29","PeopleMeet","8244:8399"
"30","ObjectPut","8372:8378"
"31","PeopleMeet","8818:9178"
"32","Pointing","8915:8942"
"33","ObjectPut","9031:9041"
"34","Embrace","9177:9246"
"35","Pointing","9461:9473"
"36","Pointing","9773:9781"
"37","PeopleMeet","10028:10172"
"38","Pointing","10149:10155"
"39","Embrace","10317:10386"
"40","ObjectPut","10839:10876"
"41","Pointing","10953:10989"
"42","Pointing","11526:11545"
"43","PeopleSplitUp","12129:12450"
"44","Pointing","12355:12377"
"45","ObjectPut","12695:12703"
"46","PeopleMeet","13035:13386"
"47","Pointing","13358:13391"
"48","ObjectPut","14440:14449"
"49","Pointing","14723:14733"
"50","PeopleSplitUp","14724:14764"
"51","PersonRuns","14901:14960"
"52","Pointing","15004:15023"
"53","Pointing","15409:15413"
"54","ObjectPut","16687:16700"
"55","ObjectPut","16762:16770"
"56","ObjectPut","17934:17938"
"57","PeopleMeet","19188:19259"
"58","CellToEar","19602:19618"
"59","Pointing","19769:19791"
"60","Pointing","20763:20796"
"61","Pointing","20785:20805"
"62","ObjectPut","22249:22259"
"63","PeopleMeet","22889:22997"
"64","PeopleMeet","22939:22996"
"65","ObjectPut","23326:23329"
"66","Pointing","23580:23626"
"67","Pointing","23653:23681"
"68","Pointing","23762:23762"
"69","Pointing","23770:23821"
"70","Pointing","24010:24108"
"71","Pointing","24375:24399"
"72","Pointing","24545:24591"
"73","Pointing","24623:24711"
"74","Pointing","25112:25129"
"75","PeopleMeet","25287:25377"
"76","PeopleMeet","25297:25378"
"77","PeopleMeet","25684:25983"
"78","PeopleMeet","25689:26003"
"79","Embrace","25880:25920"
"80","Embrace","25982:26034"
"81","ObjectPut","27949:27959"
"82","CellToEar","28704:28716"
"83","ObjectPut","28725:28728"
"84","ObjectPut","29091:29093"
"85","ObjectPut","29304:29310"
"86","ObjectPut","29404:29411"
"87","ObjectPut","29451:29463"
"88","PeopleMeet","31570:31657"
"89","Pointing","31672:31679"
"90","PeopleMeet","32455:32527"
"91","Pointing","32766:32776"
"92","PeopleSplitUp","33505:33725"
"93","PeopleMeet","33998:34070"
"94","Pointing","34516:34542"
"95","Pointing","35841:35880"
"96","PeopleMeet","35992:36272"
"97","Pointing","36098:36116"
"98","Pointing","36197:36217"
"99","ObjectPut","36265:36278"
"100","Pointing","36341:36379"
"101","Pointing","36783:36794"
"102","Pointing","36813:36828"
"103","Embrace","37077:37113"
"104","ObjectPut","37159:37213"
"105","Pointing","37172:37192"
"106","PeopleMeet","37887:37995"
"107","ObjectPut","38224:38229"
"108","PeopleMeet","38256:38394"
"109","Pointing","38398:38400"
"110","Pointing","38543:38550"
"111","ObjectPut","38568:38575"
"112","Pointing","38589:38666"
"113","PeopleMeet","38593:38793"
"114","ObjectPut","38710:38728"
"115","Pointing","38794:38800"
"116","ObjectPut","38849:38858"
"117","Pointing","38861:38870"
"118","PersonRuns","38880:38932"
"119","PeopleMeet","38914:39159"
"120","Pointing","39095:39134"
"121","ObjectPut","39871:39876"
"122","PeopleMeet","40156:40381"
"123","Pointing","40194:40208"
"124","ObjectPut","40257:40264"
"125","Embrace","40369:40422"
"126","CellToEar","40773:40787"
"127","CellToEar","41759:41776"
"128","Pointing","42246:42260"
"129","ObjectPut","42353:42359"
"130","ObjectPut","42701:42708"
"131","Pointing","42709:42745"
"132","ObjectPut","42743:42743"
"133","ObjectPut","42743:42756"
"134","ObjectPut","43965:43969"
"135","Pointing","44978:44988"
"136","Pointing","45201:45219"
"137","PersonRuns","46738:46934"
"138","Pointing","47131:47234"
"139","PeopleMeet","49152:49235"
"140","PeopleMeet","49599:49772"
"141","PeopleMeet","52667:52828"
"142","Embrace","52812:52837"
"143","PeopleMeet","52874:53231"
"144","PeopleMeet","52943:53075"
"145","Embrace","53056:53220"
"146","Embrace","53263:53268"
"147","Embrace","53365:53412"
"148","Embrace","53376:53419"
"149","Embrace","54048:54164"
"150","CellToEar","54201:54210"
"151","Embrace","54355:54558"
"152","PeopleMeet","54420:54667"
"153","Pointing","54445:54455"
"154","Pointing","54447:54454"
"155","Embrace","54577:54667"
"156","Embrace","54678:54764"
"157","Pointing","54898:54905"
"158","Pointing","54914:54932"
"159","Embrace","54969:55024"
"160","Embrace","55026:55069"
"161","Embrace","55075:55165"
"162","Embrace","55078:55140"
"163","Embrace","55208:55259"
"164","Embrace","55307:55449"
"165","Embrace","55312:55472"
"166","Embrace","55408:55519"
"167","Embrace","55459:55536"
"168","Embrace","55530:55605"
"169","Embrace","55618:55639"
"170","PersonRuns","55774:55846"
"171","PeopleSplitUp","55824:56065"
"172","Embrace","55846:55887"
"173","Embrace","55903:55996"
"174","Embrace","56028:56066"
"175","ObjectPut","56251:56266"
"176","Pointing","56293:56301"
"177","PeopleSplitUp","56304:56681"
"178","PersonRuns","56411:56531"
"179","PeopleMeet","56847:57017"
"180","Embrace","56937:56993"
"181","Embrace","57002:57053"
"182","PeopleMeet","57653:57715"
"183","CellToEar","59103:59114"
"184","ObjectPut","60613:60627"
"185","PeopleMeet","60763:61126"
