"ID","EventType","Framespan"
"1","PeopleSplitUp","478:665"
"2","ObjectPut","1733:1760"
"3","ObjectPut","1770:1779"
"4","Pointing","2238:2404"
"5","ObjectPut","2720:2730"
"6","PeopleMeet","2732:2796"
"7","Pointing","2798:2815"
"8","Pointing","4272:4294"
"9","Pointing","5366:5430"
"10","Pointing","5451:5458"
"11","PersonRuns","6294:6385"
"12","PersonRuns","6518:6615"
"13","Pointing","6740:6745"
"14","Pointing","6760:6768"
"15","PersonRuns","7285:7330"
"16","PersonRuns","7324:7385"
"17","PeopleSplitUp","8291:10950"
"18","CellToEar","9371:9381"
"19","PeopleSplitUp","10633:11211"
"20","PeopleMeet","10824:11007"
"21","PeopleMeet","10834:11024"
"22","PeopleSplitUp","12943:13132"
"23","PeopleMeet","13373:13478"
"24","Pointing","13451:13485"
"25","Pointing","13512:13527"
"26","ObjectPut","13551:13566"
"27","Embrace","13605:13784"
"28","Pointing","13713:13728"
"29","Pointing","13844:13852"
"30","Pointing","13886:13934"
"31","Pointing","13979:13997"
"32","ObjectPut","14395:14412"
"33","Embrace","14421:14780"
"34","PeopleMeet","14545:14736"
"35","ObjectPut","14645:14661"
"36","ObjectPut","14840:14874"
"37","PeopleMeet","15113:15298"
"38","PeopleSplitUp","16000:16087"
"39","PeopleSplitUp","16195:16277"
"40","PeopleMeet","16468:16577"
"41","PeopleSplitUp","17097:17279"
"42","ObjectPut","17976:17994"
"43","PeopleMeet","18659:18687"
"44","Embrace","19013:19082"
"45","PeopleMeet","19866:20305"
"46","Pointing","19951:19963"
"47","CellToEar","20744:20759"
"48","PeopleMeet","20991:21295"
"49","PeopleMeet","24151:24483"
"50","ObjectPut","25253:25292"
"51","ObjectPut","25309:25328"
"52","ObjectPut","25363:25391"
"53","PeopleSplitUp","25631:25877"
"54","ObjectPut","25769:25804"
"55","ObjectPut","26017:26057"
"56","CellToEar","26173:26186"
"57","CellToEar","27033:27045"
"58","Pointing","27647:27695"
"59","Pointing","30800:30947"
"60","CellToEar","30912:30942"
"61","Embrace","31041:31104"
"62","ObjectPut","33855:33866"
"63","ObjectPut","38177:38188"
"64","Pointing","38305:38310"
"65","PeopleMeet","38667:38854"
"66","Embrace","38838:38980"
"67","Pointing","39039:39067"
"68","PeopleMeet","39422:39851"
"69","ObjectPut","39768:39775"
"70","Pointing","39926:39995"
"71","Embrace","40120:40341"
"72","Pointing","40336:40340"
"73","PeopleMeet","40825:40852"
"74","Embrace","40837:40937"
"75","PeopleSplitUp","41380:41743"
"76","Pointing","41421:41426"
"77","Pointing","41443:41448"
"78","Pointing","41704:41709"
"79","ObjectPut","41812:41822"
"80","PersonRuns","42446:42524"
"81","Pointing","42689:42739"
"82","ObjectPut","43539:43557"
"83","ObjectPut","43583:43616"
"84","Pointing","43680:43685"
"85","PeopleMeet","43777:44039"
"86","ObjectPut","43778:43793"
"87","ObjectPut","43796:43800"
"88","Pointing","46050:46063"
"89","ObjectPut","46252:46261"
"90","Pointing","46272:46280"
"91","Pointing","46294:46306"
"92","Pointing","46567:46631"
"93","PeopleMeet","46914:47184"
"94","Pointing","46915:46924"
"95","ObjectPut","46973:46984"
"96","ObjectPut","47035:47122"
"97","ObjectPut","47051:47077"
"98","ObjectPut","47387:47402"
"99","ObjectPut","47412:47418"
"100","ObjectPut","48399:48408"
"101","ObjectPut","49109:49132"
"102","ObjectPut","49418:49422"
"103","ObjectPut","49419:49426"
"104","Pointing","49509:49527"
"105","ObjectPut","49538:49548"
"106","ObjectPut","49717:49762"
"107","Pointing","49863:49869"
"108","ObjectPut","49882:50274"
"109","ObjectPut","50010:50024"
"110","ObjectPut","50412:50421"
"111","Pointing","50437:50438"
"112","Pointing","50441:50443"
"113","Pointing","50667:50692"
"114","Pointing","50856:50864"
"115","ObjectPut","50899:50905"
"116","Pointing","50900:50906"
"117","Pointing","51458:51537"
"118","ObjectPut","51604:51608"
"119","Pointing","51872:51882"
"120","Pointing","52662:52810"
"121","Pointing","52703:52725"
"122","ObjectPut","52865:52876"
"123","CellToEar","52933:52952"
"124","Pointing","53007:53015"
"125","CellToEar","53417:53442"
"126","CellToEar","53420:53436"
"127","Pointing","53700:53721"
"128","PeopleMeet","53707:54119"
"129","Pointing","53767:53797"
"130","Pointing","53813:53826"
"131","Pointing","53839:53852"
"132","Pointing","53924:53956"
"133","CellToEar","54117:54138"
"134","Pointing","54120:54141"
"135","Pointing","54122:54136"
"136","Pointing","54262:54274"
"137","Pointing","54310:54435"
"138","ObjectPut","54350:54503"
"139","Pointing","54390:54441"
"140","Pointing","54461:54511"
"141","Pointing","54543:54615"
"142","Pointing","55069:55131"
"143","ObjectPut","55322:55631"
"144","ObjectPut","55392:55395"
"145","ObjectPut","55723:55727"
"146","ObjectPut","55741:55744"
"147","PeopleMeet","55885:55974"
"148","Pointing","55902:55930"
"149","ObjectPut","55918:55920"
"150","ObjectPut","55990:55993"
"151","ObjectPut","56034:56036"
"152","ObjectPut","56047:56050"
"153","ObjectPut","56055:56057"
"154","ObjectPut","56188:56189"
"155","ObjectPut","56225:56227"
"156","ObjectPut","56269:56271"
"157","ObjectPut","56435:56438"
"158","ObjectPut","56462:56494"
"159","ObjectPut","56548:56590"
"160","ObjectPut","56613:56634"
"161","ObjectPut","56707:56709"
"162","ObjectPut","56778:56780"
"163","Pointing","57062:57117"
"164","CellToEar","57102:57118"
"165","Pointing","57138:57153"
"166","ObjectPut","57389:57419"
"167","ObjectPut","57459:57483"
"168","Pointing","57742:57750"
"169","PeopleMeet","57812:57940"
"170","Pointing","57890:57918"
"171","ObjectPut","57934:57960"
"172","Embrace","57941:57984"
"173","Pointing","57965:58004"
"174","Embrace","58004:58028"
"175","Pointing","58041:58087"
"176","Embrace","58043:58098"
"177","Pointing","58290:58294"
"178","Embrace","58338:58361"
"179","Pointing","58376:58384"
"180","Embrace","58751:58791"
"181","ObjectPut","59158:59160"
"182","Pointing","59220:59231"
"183","Pointing","59292:59311"
"184","Pointing","59347:59400"
"185","ObjectPut","59389:59420"
"186","Pointing","60269:60362"
"187","Pointing","61017:61103"
"188","Pointing","61121:61132"
"189","ObjectPut","61146:61172"
"190","PeopleSplitUp","61190:61631"
"191","Pointing","61870:61879"
"192","Pointing","62320:62327"
"193","ObjectPut","64483:64486"
"194","PeopleMeet","64666:64823"
"195","Pointing","64716:64755"
"196","ObjectPut","64836:64853"
"197","ObjectPut","65052:65054"
"198","Pointing","65496:65548"
"199","CellToEar","65962:65972"
"200","Pointing","66118:66124"
"201","Embrace","66614:67303"
"202","Pointing","66647:66725"
"203","Pointing","67007:67014"
"204","ObjectPut","67338:67948"
"205","Embrace","67421:67571"
"206","ObjectPut","67944:67950"
"207","PeopleSplitUp","68030:68141"
"208","CellToEar","68237:68249"
"209","PeopleSplitUp","68951:69015"
"210","ObjectPut","69400:69470"
"211","ObjectPut","70118:70140"
"212","Pointing","70195:70257"
"213","PeopleMeet","70860:71078"
"214","PeopleMeet","70896:71083"
"215","ObjectPut","71491:71519"
"216","ObjectPut","71675:71695"
"217","PeopleSplitUp","71913:72192"
"218","ObjectPut","72068:72082"
"219","PeopleSplitUp","72352:72888"
"220","Pointing","72561:72576"
"221","Pointing","72662:72683"
"222","Pointing","74810:74821"
"223","PeopleMeet","76251:76328"
"224","PeopleMeet","76264:76394"
"225","PeopleMeet","78161:78240"
"226","PeopleSplitUp","78443:78591"
"227","PeopleMeet","78461:78615"
"228","Pointing","79629:79671"
"229","PeopleMeet","81013:81051"
"230","PeopleSplitUp","81505:81951"
"231","ObjectPut","82653:82708"
"232","ObjectPut","82708:82844"
"233","CellToEar","83144:83155"
"234","Pointing","83769:83788"
"235","ObjectPut","88609:88614"
"236","Pointing","89512:89521"
"237","ObjectPut","90012:90040"
"238","Pointing","90575:90592"
"239","Pointing","90660:90675"
"240","ObjectPut","90744:90750"
"241","Pointing","90758:90806"
"242","Pointing","90919:90927"
"243","Pointing","91239:91244"
"244","Pointing","91745:91753"
"245","ObjectPut","92477:92482"
"246","Pointing","93044:93047"
"247","ObjectPut","93297:93312"
"248","Pointing","93309:93337"
"249","Pointing","93413:93438"
"250","ObjectPut","93477:93576"
"251","Pointing","93861:93869"
"252","Pointing","93999:94022"
"253","PeopleSplitUp","94129:94340"
"254","Pointing","94303:94313"
"255","Pointing","94366:94393"
"256","Pointing","94603:94798"
"257","Pointing","94866:94925"
"258","Pointing","95678:95682"
"259","PeopleSplitUp","96406:96962"
"260","PeopleMeet","96744:96917"
"261","PersonRuns","96875:96911"
"262","ObjectPut","97034:97036"
"263","Pointing","97061:97102"
"264","PeopleMeet","97125:97212"
"265","Pointing","98102:98132"
"266","ObjectPut","98478:98487"
"267","ObjectPut","98555:98575"
"268","Pointing","100826:100837"
"269","Pointing","100849:100851"
"270","Pointing","101223:101225"
"271","CellToEar","101256:101272"
"272","Pointing","101305:101357"
"273","Pointing","101586:101592"
"274","Pointing","101715:101719"
"275","PersonRuns","102259:102319"
"276","PeopleMeet","102704:102807"
"277","ObjectPut","104343:104347"
"278","ObjectPut","104533:104540"
"279","PeopleSplitUp","105304:105531"
"280","ObjectPut","105461:106700"
"281","Pointing","106028:106125"
"282","ObjectPut","106338:106353"
"283","ObjectPut","106509:106535"
"284","PersonRuns","107378:107501"
"285","PersonRuns","107388:107500"
"286","ObjectPut","107754:107756"
"287","ObjectPut","107790:107805"
"288","ObjectPut","108940:108966"
"289","ObjectPut","109064:109081"
"290","ObjectPut","109406:109411"
"291","ObjectPut","109407:109431"
"292","ObjectPut","109689:109717"
"293","ObjectPut","110107:110189"
"294","ObjectPut","110185:110210"
"295","Pointing","110202:110238"
"296","ObjectPut","110309:110602"
"297","PeopleMeet","110509:110553"
"298","ObjectPut","110605:110607"
"299","ObjectPut","110761:110763"
"300","Pointing","110776:110818"
"301","Pointing","110832:110855"
"302","Pointing","110872:110893"
"303","ObjectPut","111212:111215"
"304","ObjectPut","112727:112729"
"305","ObjectPut","112857:112859"
"306","ObjectPut","112898:112913"
"307","Pointing","112988:113009"
"308","ObjectPut","113030:113031"
"309","ObjectPut","113068:113071"
"310","ObjectPut","113070:113072"
"311","ObjectPut","113433:113435"
"312","ObjectPut","113468:113471"
"313","ObjectPut","113695:113702"
"314","Pointing","113752:113768"
"315","CellToEar","113881:113899"
"316","ObjectPut","113917:113919"
"317","ObjectPut","114160:114162"
"318","CellToEar","114206:114219"
"319","ObjectPut","114228:114238"
"320","ObjectPut","114939:114946"
"321","ObjectPut","115963:116010"
"322","Pointing","116563:116587"
"323","ObjectPut","116583:116637"
"324","PeopleMeet","116812:116937"
"325","PeopleSplitUp","116967:117099"
"326","Pointing","116973:116983"
"327","ObjectPut","117260:117298"
"328","ObjectPut","117894:117902"
"329","ObjectPut","118078:118092"
"330","PeopleMeet","118998:119120"
"331","ObjectPut","119772:119798"
"332","Pointing","120361:120367"
"333","Pointing","120499:120523"
"334","Pointing","120637:120643"
"335","Pointing","120746:120752"
"336","PeopleMeet","122956:123002"
"337","Embrace","123003:123055"
"338","Embrace","123089:123126"
"339","ObjectPut","123111:123130"
"340","Pointing","123291:123296"
"341","ObjectPut","123489:123507"
"342","ObjectPut","123523:123529"
"343","Pointing","123656:123672"
"344","ObjectPut","123823:123936"
"345","ObjectPut","123840:123857"
"346","Pointing","124815:124845"
"347","Pointing","124877:124879"
