"ID","EventType","Framespan"
"1","Embrace","825:888"
"2","PeopleMeet","2121:2265"
"3","PeopleMeet","2418:2508"
"4","Embrace","2509:2578"
"5","Pointing","3245:3254"
"6","Pointing","3672:3674"
"7","ObjectPut","3820:4063"
"8","ObjectPut","3946:3951"
"9","ObjectPut","3951:3958"
"10","Pointing","4892:4921"
"11","Pointing","5396:5415"
"12","CellToEar","5766:5784"
"13","PeopleMeet","5811:5846"
"14","PeopleSplitUp","5861:6908"
"15","PeopleMeet","6351:6409"
"16","ObjectPut","6449:6461"
"17","PeopleSplitUp","6496:6704"
"18","ObjectPut","6857:6864"
"19","PeopleMeet","7400:7484"
"20","ObjectPut","7708:7709"
"21","ObjectPut","9151:9160"
"22","Pointing","13659:13690"
"23","ObjectPut","14566:14570"
"24","Pointing","15320:15362"
"25","PeopleMeet","15851:16254"
"26","PeopleSplitUp","17029:17237"
"27","Pointing","18404:18432"
"28","Pointing","18611:18627"
"29","ObjectPut","19570:19584"
"30","ObjectPut","20569:20582"
"31","PeopleMeet","21296:21345"
"32","PeopleMeet","23336:23565"
"33","ObjectPut","23435:23448"
"34","PeopleSplitUp","23623:23667"
"35","ObjectPut","23800:23822"
"36","Pointing","24220:24243"
"37","Pointing","24414:24430"
"38","CellToEar","24505:24516"
"39","PeopleMeet","24567:24633"
"40","CellToEar","24622:24643"
"41","ObjectPut","24879:24897"
"42","CellToEar","25019:25033"
"43","Pointing","25116:25122"
"44","ObjectPut","25301:25303"
"45","PeopleMeet","26049:26394"
"46","Embrace","26369:26406"
"47","PeopleMeet","26438:26701"
"48","ObjectPut","26457:26464"
"49","Embrace","26604:26622"
"50","PeopleSplitUp","26827:27084"
"51","PeopleMeet","26839:26942"
"52","ObjectPut","27215:27245"
"53","ObjectPut","27226:27244"
"54","PeopleMeet","27633:27728"
"55","CellToEar","27749:27763"
"56","PeopleSplitUp","28288:28603"
"57","PeopleMeet","29125:29153"
"58","PeopleSplitUp","29906:30012"
"59","Pointing","30942:30995"
"60","ObjectPut","31029:31130"
"61","ObjectPut","31151:31286"
"62","Pointing","31161:31168"
"63","ObjectPut","31746:31756"
"64","ObjectPut","31751:31772"
"65","PeopleMeet","31797:31846"
"66","ObjectPut","31873:31886"
"67","PeopleMeet","31874:31939"
"68","PeopleMeet","32245:32259"
"69","PeopleSplitUp","32326:32382"
"70","PeopleMeet","32511:32543"
"71","PeopleSplitUp","33448:33635"
"72","PeopleSplitUp","33553:33818"
"73","PeopleMeet","34055:34132"
"74","Embrace","34132:34233"
"75","Embrace","34277:34341"
"76","Embrace","34456:34579"
"77","PersonRuns","36688:36742"
"78","PeopleMeet","36694:36773"
"79","ObjectPut","36761:36768"
"80","Embrace","36773:36900"
"81","PeopleMeet","37391:37448"
"82","Embrace","37449:37515"
"83","ObjectPut","37522:37546"
"84","ObjectPut","37561:37571"
"85","Embrace","37587:37646"
"86","Embrace","37704:37790"
"87","PeopleMeet","38200:38248"
"88","ObjectPut","38214:38246"
"89","Pointing","38313:38315"
"90","PeopleMeet","38433:38673"
"91","CellToEar","38601:38620"
"92","PeopleSplitUp","38890:38956"
"93","PeopleMeet","39326:39400"
"94","PeopleMeet","40307:40329"
"95","ObjectPut","41460:41473"
"96","PeopleMeet","41499:41591"
"97","ObjectPut","41693:41703"
"98","PeopleSplitUp","41906:45196"
"99","ObjectPut","42319:42382"
"100","ObjectPut","42403:42494"
"101","Pointing","42595:42598"
"102","PeopleMeet","42624:42767"
"103","Pointing","42650:42655"
"104","PeopleSplitUp","42779:42998"
"105","Pointing","43460:43469"
"106","PeopleMeet","43553:43587"
"107","ObjectPut","43580:43661"
"108","Pointing","43599:43603"
"109","PeopleMeet","43627:43685"
"110","PeopleSplitUp","44045:44454"
"111","ObjectPut","44085:44093"
"112","ObjectPut","44283:44306"
"113","Pointing","44326:44333"
"114","CellToEar","44354:44373"
"115","Pointing","44575:44591"
"116","Pointing","44596:44624"
"117","PeopleMeet","44597:44850"
"118","PeopleSplitUp","44649:44719"
"119","Pointing","44689:44697"
"120","Embrace","44848:44936"
"121","ObjectPut","45233:45244"
"122","Pointing","45290:45293"
"123","ObjectPut","45438:45441"
"124","ObjectPut","45509:45514"
"125","Pointing","45878:45904"
"126","Pointing","45940:45945"
"127","Pointing","45940:45946"
"128","Pointing","46027:46090"
"129","PersonRuns","46188:46307"
"130","Pointing","46862:46880"
"131","Pointing","46906:46934"
"132","Pointing","47113:47196"
"133","Pointing","47273:47283"
"134","CellToEar","48214:48225"
"135","Pointing","48609:48625"
"136","PeopleMeet","48755:48821"
"137","ObjectPut","48799:48805"
"138","Embrace","48822:49231"
"139","PeopleMeet","50534:50624"
"140","Pointing","51685:51702"
"141","PeopleMeet","51687:51887"
"142","PeopleMeet","51785:51849"
"143","ObjectPut","51982:51987"
"144","Pointing","52010:52031"
"145","Pointing","52135:52197"
"146","Pointing","52178:52189"
"147","ObjectPut","54094:54115"
"148","Pointing","54962:54992"
"149","Pointing","55074:55088"
"150","Pointing","55458:55467"
"151","CellToEar","55527:55543"
"152","ObjectPut","55826:55835"
"153","CellToEar","56082:56102"
"154","PeopleMeet","56793:57006"
"155","PeopleMeet","57811:57958"
"156","Embrace","57936:59260"
"157","ObjectPut","59119:59152"
"158","CellToEar","59414:59424"
"159","Embrace","59778:60904"
"160","ObjectPut","60006:60020"
"161","CellToEar","60933:60945"
"162","CellToEar","61001:61025"
"163","PeopleMeet","61239:61262"
"164","PeopleMeet","61788:61943"
"165","PeopleMeet","61990:62077"
"166","PeopleMeet","62037:62108"
"167","Embrace","62095:62247"
"168","PeopleMeet","62238:62395"
"169","Pointing","62253:62324"
"170","ObjectPut","62327:62336"
"171","Pointing","62327:62427"
"172","ObjectPut","62365:62388"
"173","Pointing","62448:62497"
"174","Pointing","62671:62682"
"175","PeopleSplitUp","62689:66975"
"176","ObjectPut","62730:62733"
"177","PeopleMeet","62823:62898"
"178","Pointing","62920:62944"
"179","Pointing","62965:62981"
"180","ObjectPut","63024:63039"
"181","PeopleMeet","63104:63149"
"182","Pointing","63142:63182"
"183","PeopleMeet","63431:63534"
"184","Pointing","63460:63467"
"185","Pointing","63529:63575"
"186","PeopleMeet","64232:64327"
"187","Embrace","64316:64376"
"188","Pointing","64681:64693"
"189","PeopleMeet","65225:65280"
"190","Pointing","65307:65390"
"191","Pointing","65455:65466"
"192","Pointing","65491:65527"
"193","PeopleMeet","65632:65735"
"194","Pointing","65811:65827"
"195","Pointing","66420:66446"
"196","PeopleMeet","66701:66727"
"197","Pointing","66826:66855"
"198","PeopleMeet","67015:67133"
"199","Embrace","67127:67167"
"200","Pointing","67269:67280"
"201","ObjectPut","67527:67535"
"202","PeopleMeet","68239:68370"
"203","PeopleSplitUp","68592:68737"
"204","CellToEar","68598:68623"
"205","PersonRuns","68680:68738"
"206","PersonRuns","68686:68735"
"207","Pointing","68732:68749"
"208","PeopleMeet","69501:69614"
"209","Embrace","69602:69696"
"210","PeopleSplitUp","69676:69908"
"211","Embrace","69732:69763"
"212","PeopleMeet","70072:70285"
"213","PeopleMeet","70276:70385"
"214","Embrace","70277:70325"
"215","Embrace","70378:70406"
"216","PeopleMeet","70451:70520"
"217","PeopleMeet","70504:70546"
"218","Embrace","70512:70615"
"219","Embrace","70530:71129"
"220","Embrace","71558:71597"
"221","Embrace","72778:72882"
"222","PeopleSplitUp","72881:73151"
"223","PeopleSplitUp","73171:73543"
"224","CellToEar","73336:73349"
"225","PeopleMeet","73828:74269"
"226","PeopleMeet","74168:74216"
"227","PeopleMeet","74255:74307"
"228","Embrace","74289:74337"
"229","Embrace","74408:74452"
"230","Pointing","74651:74752"
"231","Pointing","74981:74994"
"232","Pointing","75035:75045"
"233","PeopleMeet","75989:76314"
"234","PeopleMeet","76251:77030"
"235","Embrace","76295:76331"
"236","Embrace","76297:76330"
"237","Embrace","76370:76400"
"238","Embrace","76371:76375"
"239","Embrace","76418:76451"
"240","Pointing","77448:77461"
"241","Pointing","77676:77686"
"242","Pointing","77876:77913"
"243","PersonRuns","78552:78627"
"244","ObjectPut","79938:79974"
"245","PersonRuns","81912:81971"
"246","ObjectPut","82705:82752"
"247","PeopleMeet","82742:82837"
"248","ObjectPut","83183:83205"
"249","ObjectPut","83331:83349"
"250","ObjectPut","83420:83454"
"251","ObjectPut","83460:83499"
"252","ObjectPut","83495:83511"
"253","PeopleSplitUp","83606:83628"
"254","PeopleSplitUp","83666:83732"
"255","Pointing","83696:83744"
"256","CellToEar","83783:83803"
"257","Pointing","83847:83864"
"258","PeopleMeet","83997:84018"
