"ID","EventType","Framespan"
"1","ObjectPut","517:540"
"2","ObjectPut","776:788"
"3","ObjectPut","814:825"
"4","Pointing","828:869"
"5","ObjectPut","849:891"
"6","ObjectPut","893:914"
"7","ObjectPut","958:984"
"8","ObjectPut","1001:1015"
"9","PeopleSplitUp","1044:1151"
"10","ObjectPut","1186:1207"
"11","ObjectPut","1347:1380"
"12","ObjectPut","1503:1519"
"13","ObjectPut","1675:1690"
"14","ObjectPut","2391:2483"
"15","ObjectPut","2860:2876"
"16","ObjectPut","3014:3033"
"17","ObjectPut","3199:3231"
"18","PeopleSplitUp","3418:3688"
"19","PeopleMeet","3543:3653"
"20","Pointing","4660:4694"
"21","PeopleMeet","4800:5045"
"22","Pointing","4821:4913"
"23","Pointing","4916:4972"
"24","PeopleSplitUp","5051:5325"
"25","Pointing","5294:5361"
"26","Pointing","5422:5430"
"27","Pointing","5660:5671"
"28","Pointing","6261:6281"
"29","Pointing","6397:6424"
"30","PeopleMeet","6657:6702"
"31","Pointing","7301:7306"
"32","Pointing","7399:7405"
"33","Pointing","7626:7642"
"34","Pointing","7626:7646"
"35","Pointing","7912:7923"
"36","PeopleSplitUp","7940:8665"
"37","PeopleSplitUp","8195:8368"
"38","PeopleSplitUp","8206:8455"
"39","Pointing","8235:8247"
"40","Pointing","8282:8289"
"41","Pointing","8483:8490"
"42","ObjectPut","9982:9985"
"43","ObjectPut","10585:10599"
"44","PeopleMeet","11423:11499"
"45","Pointing","11577:11592"
"46","Pointing","11809:11834"
"47","Pointing","11896:11917"
"48","PeopleSplitUp","12323:12508"
"49","ObjectPut","12740:12747"
"50","ObjectPut","13515:13523"
"51","ObjectPut","14093:14099"
"52","Pointing","14132:14153"
"53","Pointing","14171:14177"
"54","ObjectPut","14902:14910"
"55","Pointing","15404:15409"
"56","Pointing","15611:15632"
"57","Pointing","17810:17838"
"58","ObjectPut","17961:17963"
"59","ObjectPut","18598:18612"
"60","ObjectPut","20625:20632"
"61","PeopleMeet","20784:20875"
"62","Pointing","20785:20795"
"63","PeopleSplitUp","21097:21295"
"64","ObjectPut","21209:21277"
"65","Pointing","21294:21302"
"66","Pointing","22256:22320"
"67","Pointing","22270:22327"
"68","Pointing","22367:22388"
"69","Pointing","22380:22385"
"70","Pointing","22405:22412"
"71","Pointing","22459:22512"
"72","ObjectPut","22694:22696"
"73","ObjectPut","22763:22766"
"74","ObjectPut","22884:22891"
"75","ObjectPut","22886:22888"
"76","ObjectPut","23085:23088"
"77","ObjectPut","23234:23236"
"78","PeopleMeet","24110:24199"
"79","PeopleMeet","25007:25050"
"80","PeopleSplitUp","25075:25699"
"81","PeopleMeet","25249:25401"
"82","PeopleMeet","25320:25364"
"83","ObjectPut","25534:25536"
"84","PeopleSplitUp","25534:25836"
"85","PeopleMeet","25743:25820"
"86","Pointing","27018:27187"
"87","Pointing","27343:27467"
"88","PeopleSplitUp","27584:27854"
"89","PeopleMeet","27664:27731"
"90","Pointing","27709:27751"
"91","Pointing","27757:27800"
"92","PeopleMeet","27887:27915"
