"ID","EventType","Framespan"
"1","Pointing","29:39"
"2","PeopleMeet","616:823"
"3","PersonRuns","3427:3470"
"4","PeopleMeet","3865:3919"
"5","PeopleMeet","4594:4624"
"6","Pointing","4597:4628"
"7","PeopleSplitUp","4620:4747"
"8","Pointing","5504:5513"
"9","Pointing","5677:5733"
"10","Pointing","5733:5743"
"11","PeopleSplitUp","7331:7490"
"12","PeopleMeet","7409:7590"
"13","Pointing","7651:7681"
"14","Pointing","7719:7733"
"15","ObjectPut","7870:7872"
"16","PeopleMeet","8312:8485"
"17","Pointing","8335:8341"
"18","Pointing","9531:9610"
"19","Pointing","10044:10065"
"20","Pointing","10720:10726"
"21","Pointing","11675:11679"
"22","Pointing","14282:14340"
"23","PersonRuns","15148:15209"
"24","Pointing","15361:15371"
"25","ObjectPut","17552:17562"
"26","Pointing","22661:22766"
"27","CellToEar","22876:22890"
"28","PeopleMeet","30633:30874"
"29","PeopleSplitUp","31160:31463"
"30","PeopleMeet","32663:32751"
"31","ObjectPut","33960:33984"
"32","Pointing","34632:34683"
"33","ObjectPut","37575:37588"
"34","Pointing","38499:38536"
"35","Pointing","38527:38547"
"36","PeopleMeet","39778:39848"
"37","PeopleMeet","39815:39844"
"38","PeopleMeet","39916:40042"
"39","Pointing","40243:40261"
"40","PersonRuns","40456:40501"
"41","Pointing","41037:41045"
"42","Pointing","41363:41377"
"43","ObjectPut","41632:41639"
"44","ObjectPut","41745:41756"
"45","Pointing","41941:41969"
"46","PeopleSplitUp","42152:42461"
"47","CellToEar","42616:42636"
"48","Pointing","42846:42860"
"49","Pointing","42914:42936"
"50","ObjectPut","43748:43764"
"51","Pointing","43926:43947"
"52","PeopleMeet","44029:44094"
"53","PeopleMeet","44044:44134"
"54","Pointing","44461:44477"
"55","Pointing","44598:44610"
"56","Pointing","44775:44806"
"57","PersonRuns","47637:47684"
"58","CellToEar","49038:49051"
"59","PeopleMeet","49801:49871"
"60","Embrace","49872:49945"
"61","PersonRuns","50478:50583"
"62","Pointing","56748:56864"
"63","Pointing","59462:59511"
"64","Pointing","59603:59631"
"65","Pointing","59757:59793"
"66","Pointing","59920:59946"
"67","Pointing","60327:60367"
"68","CellToEar","60825:60838"
"69","Pointing","61741:61748"
"70","Pointing","61762:61781"
"71","PeopleMeet","61850:61902"
"72","Pointing","65240:65281"
"73","CellToEar","65631:65644"
"74","PeopleMeet","65697:65820"
"75","ObjectPut","65743:65794"
"76","Embrace","66284:66342"
"77","Pointing","66920:66972"
"78","Pointing","67084:67095"
"79","CellToEar","67088:67109"
"80","Pointing","68042:68068"
"81","Pointing","68134:68139"
"82","Pointing","68195:68205"
"83","Pointing","68354:68361"
"84","PersonRuns","68745:68751"
"85","PersonRuns","68887:68938"
"86","PeopleMeet","70032:70132"
"87","PeopleMeet","70065:70065"
"88","PeopleSplitUp","70203:70258"
"89","PeopleSplitUp","70285:70445"
"90","PeopleMeet","77132:77365"
"91","Pointing","77430:77481"
"92","PeopleMeet","77689:77876"
"93","ObjectPut","78027:78037"
"94","ObjectPut","78037:78042"
"95","ObjectPut","79072:79090"
"96","Pointing","83929:83958"
"97","Pointing","84938:84987"
"98","ObjectPut","84948:84950"
"99","Pointing","85065:85098"
"100","Pointing","87029:87048"
"101","PeopleMeet","87190:87245"
"102","Pointing","87516:87557"
"103","Pointing","87611:87626"
"104","Pointing","87666:87666"
"105","Pointing","88357:88365"
"106","Pointing","88383:88444"
"107","Pointing","88509:88535"
"108","ObjectPut","91389:91394"
"109","CellToEar","92528:92539"
"110","Pointing","93962:94023"
"111","CellToEar","95368:95383"
"112","PeopleMeet","95661:95846"
"113","Pointing","96293:96337"
"114","ObjectPut","101621:101630"
"115","ObjectPut","101970:101981"
"116","ObjectPut","102628:102642"
"117","ObjectPut","102629:102638"
"118","ObjectPut","102638:102638"
"119","ObjectPut","102883:102902"
"120","ObjectPut","103155:103170"
"121","ObjectPut","103236:103246"
"122","ObjectPut","103266:103276"
"123","ObjectPut","103309:103324"
"124","ObjectPut","103324:103329"
"125","ObjectPut","103432:103442"
"126","PeopleMeet","108982:109136"
"127","PeopleSplitUp","109137:109523"
"128","PeopleMeet","111267:111334"
"129","Pointing","111278:111316"
"130","Pointing","111340:111374"
"131","ObjectPut","111350:111353"
"132","ObjectPut","111666:111673"
"133","ObjectPut","111875:111879"
"134","ObjectPut","112601:112607"
"135","PeopleMeet","112711:112778"
"136","CellToEar","113181:113199"
"137","PeopleMeet","114993:115058"
"138","PeopleSplitUp","115297:115560"
"139","PeopleSplitUp","115345:115535"
"140","PeopleMeet","115531:115584"
"141","Pointing","115714:115732"
"142","Pointing","115752:115771"
"143","PeopleSplitUp","115763:116366"
"144","CellToEar","115775:115797"
"145","PeopleMeet","115846:115975"
"146","PersonRuns","116681:116774"
"147","ObjectPut","117508:117513"
"148","PeopleMeet","120138:120371"
"149","Embrace","120307:120348"
"150","Embrace","120424:120455"
"151","PeopleMeet","125466:125561"
"152","Pointing","125511:125548"
