"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","64735:65005","0.403250","0"
"2","Embrace","122085:122125","0.274500","0"
"3","Embrace","135045:135115","0.336714","0"
"4","Embrace","135145:135265","0.574333","1"
"5","Embrace","171915:171965","0.811500","1"
"1","CellToEar","24035:24075","0.210250","0"
"2","CellToEar","61605:61695","0.178667","0"
"3","CellToEar","64665:65005","0.230086","0"
"4","CellToEar","65065:65095","0.154667","0"
"5","CellToEar","104905:105215","0.328828","0"
"6","CellToEar","108225:108285","0.216667","0"
"7","CellToEar","108875:108925","0.242500","0"
"8","CellToEar","111085:111135","0.174500","0"
"9","CellToEar","111175:111235","0.225600","0"
"10","CellToEar","135035:135465","0.448386","0"
"11","CellToEar","167395:167525","0.194167","0"
"12","CellToEar","171825:171945","0.320000","0"
"13","CellToEar","188425:188795","0.520514","1"
"1","Pointing","54525:54565","0.250600","0"
"2","Pointing","64665:64755","0.174200","0"
"3","Pointing","64835:64965","0.150833","0"
"4","Pointing","103595:103645","0.593400","1"
"5","Pointing","103685:103755","0.427000","0"
"6","Pointing","103865:103915","0.194600","0"
"7","Pointing","103955:104025","0.132167","0"
"8","Pointing","104055:104095","0.149333","0"
"9","Pointing","104215:104295","0.170875","0"
"10","Pointing","104325:104635","0.288172","0"
"11","Pointing","104685:104755","0.299875","0"
"12","Pointing","104815:104935","0.300545","0"
"13","Pointing","121955:122195","0.578720","1"
"14","Pointing","122415:122465","0.242000","0"
"15","Pointing","134965:135005","0.310600","0"
"16","Pointing","135045:135115","0.135571","0"
"17","Pointing","135145:135175","0.128333","0"
"18","Pointing","171875:171955","0.366714","0"
"19","Pointing","188415:188675","0.394609","0"
