"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","18885:18945","0.356000","0"
"2","Embrace","37515:37545","0.667750","1"
"3","Embrace","37615:37755","0.577571","1"
"4","Embrace","40915:41005","0.428900","0"
"5","Embrace","41135:41165","0.212000","0"
"6","Embrace","41415:41465","0.392200","0"
"7","Embrace","42995:43055","0.186500","0"
"8","Embrace","44555:44605","0.402833","0"
"9","Embrace","44915:44985","0.663875","1"
"10","Embrace","45485:45515","0.422500","0"
"11","Embrace","45705:45745","0.265250","0"
"12","Embrace","45775:45805","0.247000","0"
"13","Embrace","45905:46055","0.347133","0"
"14","Embrace","46105:46135","0.243250","0"
"15","Embrace","46165:46195","0.194250","0"
"16","Embrace","46315:46355","0.143250","0"
"17","Embrace","46495:46545","0.266000","0"
"18","Embrace","46675:46875","0.599950","1"
"19","Embrace","46985:47155","0.470412","0"
"20","Embrace","69835:69875","0.549600","1"
"21","Embrace","86075:86115","0.599000","1"
"22","Embrace","86145:86385","0.490542","0"
"23","Embrace","90935:90965","0.542750","1"
"24","Embrace","92295:92365","0.186714","0"
"25","Embrace","92405:92475","0.506250","1"
"26","Embrace","92505:92595","0.330600","0"
"27","Embrace","126655:126745","0.326556","0"
"28","Embrace","126775:126805","0.191500","0"
"29","Embrace","126995:127145","0.342308","0"
"30","Embrace","129685:129815","0.174636","0"
"31","Embrace","129925:130025","0.326100","0"
"32","Embrace","143815:143845","0.392500","0"
"33","Embrace","156295:156335","0.167500","0"
"34","Embrace","164395:164475","0.236222","0"
"35","Embrace","165075:165415","0.353114","0"
"36","Embrace","165955:166085","0.162615","0"
"37","Embrace","166405:166535","0.307583","0"
"38","Embrace","166755:167375","0.527937","1"
"39","Embrace","167735:167865","0.212636","0"
"1","CellToEar","18105:18135","0.175667","0"
"2","CellToEar","18775:18805","0.160750","0"
"3","CellToEar","18855:18885","0.212250","0"
"4","CellToEar","34215:34325","0.186700","0"
"5","CellToEar","34455:34495","0.446333","0"
"6","CellToEar","37395:37815","0.456244","0"
"7","CellToEar","38695:38785","0.736800","1"
"8","CellToEar","40705:41535","0.621901","1"
"9","CellToEar","41585:41685","0.374500","0"
"10","CellToEar","41835:42005","0.535333","1"
"11","CellToEar","42835:43495","0.440657","0"
"12","CellToEar","44345:44375","0.228500","0"
"13","CellToEar","44425:44595","0.180353","0"
"14","CellToEar","44635:44725","0.260300","0"
"15","CellToEar","44915:44975","0.219000","0"
"16","CellToEar","45805:45845","0.150000","0"
"17","CellToEar","45905:46205","0.373933","0"
"18","CellToEar","46255:46365","0.432667","0"
"19","CellToEar","46495:46935","0.518349","1"
"20","CellToEar","46985:47185","0.735400","1"
"21","CellToEar","47505:47575","0.195333","0"
"22","CellToEar","60585:60625","0.278600","0"
"23","CellToEar","86075:86385","0.510839","1"
"24","CellToEar","91925:91985","0.334143","0"
"25","CellToEar","92065:92595","0.362608","0"
"26","CellToEar","92955:92985","0.375000","0"
"27","CellToEar","126555:127155","0.338883","0"
"28","CellToEar","129965:130005","0.266250","0"
"29","CellToEar","145275:145305","0.265333","0"
"30","CellToEar","153845:153875","0.251750","0"
"31","CellToEar","156275:156345","0.433625","0"
"32","CellToEar","164275:164345","0.209750","0"
"33","CellToEar","164375:164515","0.529667","1"
"34","CellToEar","164975:165025","0.104000","0"
"35","CellToEar","165075:165415","0.610400","1"
"36","CellToEar","165505:165605","0.444364","0"
"37","CellToEar","165635:165665","0.364000","0"
"38","CellToEar","165705:166265","0.302577","0"
"39","CellToEar","166295:166535","0.351720","0"
"40","CellToEar","166565:166635","0.243500","0"
"41","CellToEar","166765:167625","0.372897","0"
"42","CellToEar","167655:167915","0.445615","0"
"43","CellToEar","168015:168045","0.117333","0"
"44","CellToEar","168075:168185","0.131364","0"
"45","CellToEar","168515:168665","0.673800","1"
"46","CellToEar","168715:168755","0.145000","0"
"47","CellToEar","168895:168985","0.122000","0"
"48","CellToEar","169045:169075","0.140750","0"
"49","CellToEar","169155:169305","0.783812","1"
"50","CellToEar","169785:169965","0.608375","1"
"51","CellToEar","170035:170155","0.770462","1"
"52","CellToEar","170245:170285","0.110667","0"
"53","CellToEar","170385:170425","0.119000","0"
"54","CellToEar","170455:170485","0.121000","0"
"55","CellToEar","170565:170695","0.677786","1"
"1","Pointing","34195:34325","0.829857","1"
"2","Pointing","34455:34485","0.650500","1"
"3","Pointing","37495:37595","0.202444","0"
"4","Pointing","37625:37705","0.199875","0"
"5","Pointing","37745:37795","0.169833","0"
"6","Pointing","40945:40975","0.167333","0"
"7","Pointing","41605:41645","0.170500","0"
"8","Pointing","42835:42875","0.250500","0"
"9","Pointing","44605:44645","0.372750","0"
"10","Pointing","44675:44765","0.292600","0"
"11","Pointing","44935:44975","0.163250","0"
"12","Pointing","45675:45705","0.832500","1"
"13","Pointing","46995:47155","0.195571","0"
"14","Pointing","47505:47575","0.537875","1"
"15","Pointing","60605:60645","0.220600","0"
"16","Pointing","69835:69865","0.313000","0"
"17","Pointing","90945:90985","0.203000","0"
"18","Pointing","92405:92465","0.180667","0"
"19","Pointing","92565:92595","0.357000","0"
"20","Pointing","98795:98835","0.915400","1"
"21","Pointing","126535:126565","0.207000","0"
"22","Pointing","126615:126955","0.488700","0"
"23","Pointing","127055:127105","0.134400","0"
"24","Pointing","129675:130015","0.295286","0"
"25","Pointing","156265:156295","0.335333","0"
"26","Pointing","164445:164515","0.138000","0"
"27","Pointing","165385:165455","0.208167","0"
"28","Pointing","165495:165675","0.210278","0"
"29","Pointing","166015:166085","0.170571","0"
"30","Pointing","166405:166495","0.393222","0"
"31","Pointing","166835:166905","0.142714","0"
"32","Pointing","167055:167165","0.187500","0"
"33","Pointing","167305:167335","0.350250","0"
"34","Pointing","167775:167855","0.160444","0"
"35","Pointing","168535:168655","0.378000","0"
"36","Pointing","169155:169305","0.399533","0"
"37","Pointing","169785:169905","0.395923","0"
"38","Pointing","170035:170145","0.438917","0"
